"province","region","year","pop","y","g","cd","cds1","cds2","u1","u2","mafiosi","extortion","corruption1","corruption2","murder"
"Novara","Piemonte",1995,500623,4.32760572433472,0.219440549612045,0,0,0,-0.669231414794922,-0.000491440296173096,0,-0.012005690485239,-0.0900186002254486,-5.69596886634827e-05,0
"Novara","Piemonte",1996,501873,1.60927271842957,-0.142034307122231,0,0,0,0.183018326759338,0.0129306316375732,0,0.0218432694673538,-0.104049690067768,-0.0700273141264915,0
"Novara","Piemonte",1997,502609,2.8666205406189,0.125376388430595,0,0,0,-0.322867393493652,0.0286876559257507,0,0.0317580252885818,-0.0299493111670017,-0.0199632905423641,0
"Novara","Piemonte",1998,503476,-0.943209409713745,0.113045282661915,0,0,0,-0.00615537166595459,0.0227275490760803,0.0198619198054075,-0.033909160643816,0.017803780734539,0.0158449932932854,0
"Novara","Piemonte",1999,504307,0.972452282905579,0.445056796073914,0,0,0,NA,NA,0.0634206831455231,0.0217302851378918,-0.0397565700113773,-0.0198979191482067,0
"Cuneo","Piemonte",1987,543923,0.845886290073395,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Cuneo","Piemonte",1988,544062,4.72047519683838,-0.179444164037704,0,0,0,-0.487322807312012,0.0122707486152649,0.00367605173960328,-0.00736243650317192,-0.0349328219890594,-0.00367886945605278,0
"Cuneo","Piemonte",1989,544388,3.70863556861877,-0.0927045345306396,0,0,0,-0.350608348846436,-0.00475704669952393,-0.00367605173960328,0.00181711465120316,0.0128551740199327,0.012854072265327,0
"Cuneo","Piemonte",1990,546241,0.826040744781494,0.540261566638947,0,0,0,0.304319024085999,0.00902444124221802,0,-0.00927186571061611,-0.00921578332781792,-0.0128834005445242,0
"Cuneo","Piemonte",1991,547020,-0.798898100852966,-0.721770405769348,0,0,0,0.02565598487854,0.062341570854187,0,-0.00734884478151798,-0.00366920838132501,0.00181765854358673,0
"Cuneo","Piemonte",1992,548354,3.39841723442078,0.0516224950551987,0,0,0,0.329993724822998,-0.0219295024871826,0.0127654764801264,-4.44725155830383e-05,0.00910485535860062,0.0163905192166567,0
"Cuneo","Piemonte",1993,549493,-1.77038681507111,-0.0218101572245359,0,0,0,0.313437819480896,-0.0300208926200867,-0.0127654764801264,0.0272600911557674,0.00178961828351021,-0.00733235850930214,0
"Cuneo","Piemonte",1994,550534,-1.38380467891693,-0.00263076135888696,0,0,0,-0.238263368606567,-0.0348174571990967,0,-0.0200666300952435,0.027215301990509,0.00904767960309982,0
"Cuneo","Piemonte",1995,551373,4.55561828613281,0.770301282405853,0,0,0,-1.16660833358765,-0.0312490463256836,0,-0.0127342762425542,-0.0399667285382748,-0.0145506942644715,0
"Cuneo","Piemonte",1996,553005,0.473991602659225,-0.340994834899902,0,0,0,0.340228140354156,-0.0380467772483826,0,0.0415534749627113,0.0234972201287746,0.0108123449608684,0
"Cuneo","Piemonte",1997,554348,0.349081039428711,0.489966005086899,0,0,0,-0.230685174465179,-0.0387932658195496,0,0.0233195498585701,0.00895389169454575,0.00715873204171658,0
"Cuneo","Piemonte",1998,555444,-0.584400832653046,-0.23824068903923,0,0,0,-0.233841896057129,0.0254238247871399,0,-0.000153057277202606,-0.0234758891165257,-0.00726195797324181,0
"Cuneo","Piemonte",1999,557430,2.27407121658325,-0.263126492500305,0,0,0,NA,NA,0,-0.00565765798091888,0.0483916737139225,-0.00367127917706966,0
"Asti","Piemonte",1987,208394,1.16453516483307,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Asti","Piemonte",1988,207723,6.08744812011719,0.029920794069767,0,0,0,-0.517997980117798,0.0356603264808655,0,-0.0142408013343811,0.0144423097372055,0.0144423097372055,0
"Asti","Piemonte",1989,207210,2.34371376037598,0.0921779870986938,0,0,0,-0.20233428478241,0.00247269868850708,0,0.00494520738720894,0.00486177764832973,0.00968779996037483,0
"Asti","Piemonte",1990,208525,1.42060315608978,-0.181776359677315,0,0,0,0.081877589225769,-0.0278323888778687,0,-0.00992594659328461,-0.00491732358932495,-0.00974334590137005,0.0191823523491621
"Asti","Piemonte",1991,208174,0.314925104379654,-0.185717791318893,0,0,0,0.842277407646179,-0.0314674973487854,0,0.00487644597887993,0.0912940576672554,0.0912940576672554,-0.0191823523491621
"Asti","Piemonte",1992,208376,-0.936617791652679,0.961800098419189,0,0,0,0.350985527038574,-0.0122694373130798,0,0.0575416386127472,-0.0672886818647385,-0.0624896697700024,0
"Asti","Piemonte",1993,209647,-2.55491709709167,-0.840490460395813,0,0,0,-0.277450561523438,-0.0526010394096375,0,-0.0435693822801113,0.0140770114958286,0.00450807437300682,0
"Asti","Piemonte",1994,210070,0.864692330360413,-0.091040700674057,0,0,0,-0.990846395492554,-0.0508058667182922,0,0.0141560919582844,0.00941498577594757,-9.60491597652435e-05,0
"Asti","Piemonte",1995,209798,3.83734226226807,0.495702356100082,0,0,0,-0.526169955730438,0.0137181878089905,0.00476648984476924,-0.023733701556921,0.305135577917099,0.023894164711237,0
"Asti","Piemonte",1996,210134,0.281056195497513,0.0207855608314276,0,0,0,0.469663918018341,0.0347674489021301,-0.00476648984476924,0.0617814473807812,-0.0434166789054871,-0.0191497951745987,0
"Asti","Piemonte",1997,210059,2.27112889289856,0.737362325191498,0,0,0,0.0315850973129272,0.000356972217559814,0,0.0190830454230309,-0.309321343898773,-0.0237841438502073,0
"Asti","Piemonte",1998,210238,-0.354548692703247,-0.209058880805969,0,0,0,-0.298580408096313,0.0226786732673645,0.0428086258471012,-0.0667046830058098,-0.004768674261868,-0.00478083454072475,0
"Asti","Piemonte",1999,210347,3.25817847251892,1.22887790203094,0,0,0,NA,NA,-0.0428086258471012,0.0284897908568382,0.047535564750433,0.0047417264431715,0
"Alessandria","Piemonte",1987,446634,2.24663877487183,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Alessandria","Piemonte",1988,443832,4.77630853652954,0.0355977788567543,0,0,0,-0.499156355857849,0.0182695388793945,0,-0.0154466293752193,-0.0133490087464452,-0.0133490087464452,0
"Alessandria","Piemonte",1989,441703,1.91643857955933,0.0252134706825018,0,0,0,0.0517446994781494,0.0283389687538147,0,-0.017937958240509,0.00232912506908178,0.00232912506908178,0.00226396461948752
"Alessandria","Piemonte",1990,439821,0.586007416248322,-0.0542130209505558,0,0,0,0.0877418518066406,0.0158306360244751,0,0.00689845718443394,-0.0158477537333965,-0.0135741010308266,-0.00226396461948752
"Alessandria","Piemonte",1991,437794,0.851924419403076,0.19339707493782,0,0,0,0.316004157066345,-0.018637478351593,0,-0.00902091898024082,0.0319785103201866,0.0228523202240467,0
"Alessandria","Piemonte",1992,437476,-0.0944467708468437,0.331115156412125,0,0,0,0.349257349967957,-0.0230839848518372,0,0.0823018550872803,-0.00454843416810036,-0.00226757675409317,0
"Alessandria","Piemonte",1993,436489,-1.68077087402344,-0.222416341304779,0,0,0,0.308222532272339,-0.0663040280342102,0,-0.0203968212008476,0.0802473276853561,0.0458718612790108,0
"Alessandria","Piemonte",1994,435083,2.10379195213318,-0.366245180368423,0,0,0,-0.54392945766449,0.0160470008850098,0,-0.00894192606210709,-0.0157409161329269,-0.0227620154619217,0
"Alessandria","Piemonte",1995,433300,4.74444341659546,0.103612326085567,0,0,0,-0.562398314476013,0.0230345726013184,0,-0.0112556144595146,-0.0550105683505535,-0.0159659348428249,0
"Alessandria","Piemonte",1996,434527,0.635132491588593,-0.143823385238647,0,0,0,0.434704184532166,0.00959473848342896,0,0.0136451944708824,-0.00700832717120647,-8.47186893224716e-05,0
"Alessandria","Piemonte",1997,433299,-0.740779161453247,0.00942512042820454,0,0,0,-0.353906273841858,-0.0158620476722717,0,0.0232809409499168,-0.0114545878022909,0.0116241630166769,0
"Alessandria","Piemonte",1998,431988,-1.73085260391235,0.115032762289047,0,0,0,-0.442320108413696,-0.0552387237548828,0,-0.0136021077632904,-0.0184630006551743,-0.0276524759829044,0
"Alessandria","Piemonte",1999,430983,3.78938865661621,0.285636067390442,0,0,0,NA,NA,0.00696083158254623,-0.0114124566316605,0.0232027713209391,0.00235266517847776,0
"Aosta","Valle d'Aosta",1987,113220,1.48785412311554,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Aosta","Valle d'Aosta",1988,113789,1.72731387615204,-1.98010659217834,0,0,0,-0.3581223487854,-0.00501298904418945,0,-0.0264970846474171,-0.0531266704201698,-0.0530825033783913,0
"Aosta","Valle d'Aosta",1989,114409,4.17282152175903,-0.350174218416214,0,0,0,0.299916505813599,0.0151853561401367,0,0.017481142655015,0.0173382684588432,0.0173858944326639,0
"Aosta","Valle d'Aosta",1990,115275,-1.37447869777679,-1.6182781457901,0,0,0,-0.828006029129028,0.0324645042419434,0,0.0258933957666159,-0.0176781322807074,0.00841225311160088,0
"Aosta","Valle d'Aosta",1991,115958,0.737787365913391,2.34390592575073,0,0,0,0.362143993377686,0.032558798789978,0,0.0169921442866325,-0.0260247234255075,-0.0261269137263298,0.0172476246953011
"Aosta","Valle d'Aosta",1992,117204,2.77822327613831,0.398672163486481,0,0,0,0.109879016876221,-0.0106878876686096,0,0.0505510345101357,0,-0.0172476246953011,-0.0172476246953011
"Aosta","Valle d'Aosta",1993,118239,-2.03660011291504,-1.95580983161926,0,0,0,-0.0278019905090332,-0.027840256690979,0,0.252752482891083,0.160691484808922,0.0422872304916382,0
"Aosta","Valle d'Aosta",1994,118456,1.84187829494476,0.00487923622131348,0,0,0,-0.295996427536011,-0.0212516784667969,0,-0.279250681400299,0.261406183242798,0.0590162053704262,0
"Aosta","Valle d'Aosta",1995,118723,0.891561806201935,1.79656898975372,0,0,0,0.105139255523682,-0.00225144624710083,0,-0.0844195336103439,-0.329445004463196,-0.0254967287182808,0
"Aosta","Valle d'Aosta",1996,119224,0.562101721763611,-2.29389238357544,0,0,0,-0.336017847061157,-0.00421100854873657,0.0251627191901207,0.125813588500023,-0.0171644911170006,-0.00870612263679504,0
"Aosta","Valle d'Aosta",1997,119610,1.09902620315552,-1.63135302066803,0,0,0,0.150720357894897,0.0161857008934021,-0.0251627191901207,-0.0840110629796982,0.0331984087824821,-0.000216543674468994,0
"Aosta","Valle d'Aosta",1998,119993,-2.54172253608704,-0.266190439462662,0,0,0,-0.405795693397522,-0.00319695472717285,0,0.0165342092514038,0.149661839008331,-0.0335487611591816,0
"Aosta","Valle d'Aosta",1999,120343,0.91813188791275,0.857030630111694,0,0,0,NA,NA,0,-0.0417175740003586,-0.250038832426071,-9.69544053077698e-05,0
"Varese","Lombardia",1987,787521,1.95510911941528,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Varese","Lombardia",1988,789672,3.28538417816162,-0.390639513731003,0,0,0,-0.446138381958008,0.0124934315681458,0.0164625309407711,0.0164002701640129,-0.00259495712816715,-0.00512765347957611,0
"Varese","Lombardia",1989,791735,3.74231338500977,0.0743829533457756,0,0,0,-0.223817348480225,0.0183184146881104,0.0378485694527626,0.00368685647845268,-0.00257889181375504,-0.0076244892552495,0
"Varese","Lombardia",1990,794332,0.172220841050148,-0.053679957985878,0,0,0,-0.246127367019653,-0.00623774528503418,0.065286248922348,-0.0114706754684448,-0.0164237655699253,-0.00129195488989353,0
"Varese","Lombardia",1991,796981,-2.35852551460266,0.600361585617065,0,0,0,0.613390445709229,-0.000366330146789551,-0.119597345590591,0.0162069462239742,0.00125055061653256,-0.00504823075607419,0
"Varese","Lombardia",1992,800291,-0.926510691642761,-0.427749931812286,0,0,0,0.399006366729736,-0.031132698059082,0.00624772720038891,-0.00644493103027344,0.00873643904924393,0.0137294325977564,0
"Varese","Lombardia",1993,803966,-1.71977984905243,-0.13691633939743,0,0,0,0.227268695831299,-0.0106791257858276,-0.00251622614450753,0.0408580228686333,0.007411596365273,0.00862687081098557,0
"Varese","Lombardia",1994,805320,0.782357811927795,0.0651302933692932,0,0,0,-0.570931196212769,0.0224875807762146,0.0198616050183773,-0.0150389298796654,0.0409461297094822,0.001197824254632,0
"Varese","Lombardia",1995,807176,4.27128267288208,0.346761047840118,0,0,0,-0.298163652420044,-0.0264723896980286,0.0185290575027466,-0.0187374912202358,-0.0162425823509693,0.00241496041417122,0
"Varese","Lombardia",1996,810625,1.84756791591644,0.548514604568481,0,0,0,0.297216176986694,-0.010398805141449,-0.0396549291908741,0.00226165726780891,-0.000184491276741028,-0.00999543629586697,0
"Varese","Lombardia",1997,811778,1.24936902523041,-0.20117112994194,0,0,0,-0.223783493041992,0.00471359491348267,-0.00246723205782473,0.039347805082798,-0.0185392834246159,0.00859501212835312,0
"Varese","Lombardia",1998,813586,-3.19759631156921,0.391418009996414,0,0,0,-0.321481466293335,0.00993353128433228,0,-0.0370736308395863,0.0700054466724396,-0.00129208900034428,0
"Varese","Lombardia",1999,816274,1.06353151798248,-0.236992731690407,0,0,0,NA,NA,0,-0.00629943609237671,-0.0738163888454437,-0.00743951834738255,0
"Como","Lombardia",1987,782922,1.27140951156616,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Como","Lombardia",1988,785126,3.10489583015442,0.341175138950348,0,0,0,-0.533182740211487,0.0125030279159546,0.0114631280303001,0.00882254168391228,-0.0204649474471807,-0.0127977626398206,0
"Como","Lombardia",1989,788215,3.95358395576477,-0.716205716133118,0,0,0,-0.439843654632568,0.0200985074043274,0.00883590243756771,-0.025538507848978,0.00503482483327389,0.00503981672227383,0
"Como","Lombardia",1990,791746,0.11481923609972,0.451688289642334,0,0,0,0.0656570196151733,0.00732982158660889,-0.0202990304678679,0.0125567577779293,-0.0101721473038197,-0.00764042604714632,0
"Como","Lombardia",1991,795756,-0.679256021976471,0.489519506692886,0,0,0,0.660109043121338,0.015268087387085,0.00251333322376013,0.0237302780151367,0.00374454166740179,0.00248150993138552,0
"Como","Lombardia",1992,800770,-0.330697894096375,-0.37299856543541,0,0,0,0.278506517410278,0.00798434019088745,0.0212138295173645,-0.00657447054982185,-5.50802797079086e-05,0.00119371712207794,0
"Como","Lombardia",1993,805424,-2.87012076377869,0.348020881414413,0,0,0,0.385153293609619,-0.00296616554260254,-0.0113113410770893,0.024564653635025,0.017331637442112,0.00242543686181307,0
"Como","Lombardia",1994,808124,0.45983675122261,-0.841336965560913,0,0,0,-0.547438144683838,-0.00617551803588867,0.24125811457634,-0.0286974310874939,0.0766337886452675,0.0148077234625816,0
"Como","Lombardia",1995,833735,2.1375424861908,0.29284930229187,0,0,0,-0.703382015228271,-0.0199324488639832,-0.247676834464073,0.00950238853693008,-0.0799179971218109,-0.0104316379874945,0
"Como","Lombardia",1996,838062,1.25839197635651,-0.301751762628555,0,0,0,0.461893320083618,-0.0364733934402466,0.0453117415308952,-0.00861889123916626,0.00823494046926498,-8.66986811161041e-05,0
"Como","Lombardia",1997,841435,2.7558228969574,0.0710561498999596,0,0,0,-0.283308744430542,0.0300775170326233,-0.0513088516891003,-0.00373753160238266,-0.0108203757554293,-6.69639557600021e-05,0
"Como","Lombardia",1998,844597,-3.22100400924683,-0.120034046471119,0,0,0,-0.11748993396759,0.0101189613342285,0,-0.0119867939502001,0.0046603474766016,0.00112170539796352,0
"Como","Lombardia",1999,848956,-1.22865164279938,0.132145941257477,0,0,0,NA,NA,0,0.0092835146933794,-0.00601725094020367,-0.00126910582184792,0
"Sondrio","Lombardia",1987,175492,1.4976772069931,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Sondrio","Lombardia",1988,175563,4.36887502670288,2.09313464164734,0,0,0,0.0564649105072021,0.0415597558021545,0,0.0398694202303886,-0.0228022802621126,-0.170982539653778,0
"Sondrio","Lombardia",1989,175851,1.42410588264465,4.55281019210815,0,0,0,0.0182929039001465,0.0119665265083313,0,-0.0114478915929794,0.00564931891858578,0.0567263960838318,0
"Sondrio","Lombardia",1990,175873,1.17702150344849,-6.15563344955444,0,0,0,0.00607168674468994,0.0265432000160217,0,-4.26918268203735e-06,0.0795993357896805,-0.0511910691857338,0
"Sondrio","Lombardia",1991,175453,-0.223650217056274,-2.0855438709259,0,0,0,-0.080292820930481,0.0411053895950317,0.00569953210651875,-0.0341155268251896,-0.0396381169557571,0.137006551027298,0
"Sondrio","Lombardia",1992,176015,1.41055548191071,1.43249762058258,0,0,0,0.230376124382019,-0.0685807466506958,-0.00569953210651875,0.0568133406341076,0.0736389681696892,0.0163160711526871,0
"Sondrio","Lombardia",1993,176371,0.609734952449799,-2.00471329689026,0,0,0,0.199564695358276,-0.0719791054725647,0,-0.0114544108510017,-0.0456456243991852,-0.0912109613418579,0
"Sondrio","Lombardia",1994,177015,-1.30774521827698,-0.679277241230011,0,0,0,-0.409764051437378,-0.00364470481872559,0,-0.0284112133085728,-0.000350669026374817,-0.0739970505237579,0
"Sondrio","Lombardia",1995,177079,-0.257937282323837,0.467276275157928,0,0,0,-0.443191885948181,0.0282118916511536,0,0.00564107112586498,0.129850819706917,-0.0169701762497425,0
"Sondrio","Lombardia",1996,177281,2.26963019371033,-0.136686637997627,0,0,0,-0.238786816596985,-0.02971351146698,0,0.0112557876855135,-0.220247119665146,-0.028274592012167,0
"Sondrio","Lombardia",1997,177298,-0.630240440368652,0.43421733379364,0,0,0,-0.20180869102478,0.0424637794494629,0,-0.0225641317665577,0.0282005686312914,0.0169174186885357,0
"Sondrio","Lombardia",1998,177466,-1.71402764320374,-0.578729093074799,0,0,0,-0.221502244472504,-0.000947177410125732,0,0.0112590845674276,-0.0225715674459934,-0.0338573455810547,0
"Sondrio","Lombardia",1999,177367,-1.80967676639557,1.67372965812683,0,0,0,NA,NA,0,-0.0169015005230904,0.0112823462113738,0.00564746372401714,0
"Milano","Lombardia",1987,3937031,1.06968629360199,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Milano","Lombardia",1988,3935578,4.16967439651489,-0.126535713672638,0,0,0,-0.148392558097839,0.00518256425857544,-0.0248883850872517,-0.00913700647652149,0.01042097248137,0.00965822674334049,9.3772541731596e-08
"Milano","Lombardia",1989,3932952,2.51312708854675,0.306499928236008,0,0,0,-0.406076192855835,-0.00716626644134521,-0.00228208024054766,0.00408074446022511,-0.0129546355456114,-0.0104133728891611,-0.000254092272371054
"Milano","Lombardia",1990,3929657,0.937424778938293,0.044952217489481,0,0,0,0.106974601745605,0.0253389477729797,-0.00202983152121305,0.00358184054493904,0.00611252011731267,0.00305924518033862,0.000508950266521424
"Milano","Lombardia",1991,3920626,-0.569051682949066,-0.427582681179047,0,0,0,0.16719925403595,0.0285184979438782,0.00485788844525814,0.0123039055615664,-0.000992109067738056,0.000532397069036961,-0.000253888953011483
"Milano","Lombardia",1992,3926161,-0.529091358184814,0.313798606395721,0,0,0,0.434056282043457,-0.0054442286491394,-0.0099473912268877,-0.00463928654789925,0.0231620371341705,0.035134457051754,-0.000255061313509941
"Milano","Lombardia",1993,3921479,-2.01299571990967,-0.282545745372772,0,0,0,0.102336645126343,-0.0412659645080566,0.0239705480635166,0.0110059976577759,0.0655775517225266,-0.00300594046711922,0
"Milano","Lombardia",1994,3914568,3.43217396736145,-0.311531573534012,0,0,0,-0.0531563758850098,-0.0220105051994324,-0.00915409810841084,-0.00298578664660454,0.0579095408320427,0.0143802687525749,0
"Milano","Lombardia",1995,3910730,3.02009296417236,0.088467001914978,0,0,0,-0.480203032493591,0.000980973243713379,-0.0107251424342394,-0.0063512995839119,-0.0543105974793434,-0.00352423638105392,0
"Milano","Lombardia",1996,3919924,-0.617479562759399,0.0194686632603407,0,0,0,-0.309839248657227,0.00441479682922363,-0.00409130798652768,0.0088447779417038,-0.0150391086935997,-0.00522688776254654,0
"Milano","Lombardia",1997,3930282,0.954778492450714,0.0357272177934647,0,0,0,-0.163918614387512,-0.0118725895881653,0.00763304019346833,-0.0169103443622589,-0.0406884029507637,-0.0176823884248734,0
"Milano","Lombardia",1998,3947228,-1.98655700683594,0.0482295788824558,0,0,0,0.0985153913497925,0.0171117186546326,0.000980599317699671,0.0122947134077549,0.0132217854261398,0.00341680645942688,0
"Milano","Lombardia",1999,3953329,1.53954207897186,0.0138151356950402,0,0,0,NA,NA,0.000745560973882675,0.00828561931848526,-0.00565915182232857,0.00399522110819817,0
"Bergamo","Lombardia",1987,912894,-0.136163532733917,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Bergamo","Lombardia",1988,917151,3.23960638046265,0.116149596869946,0,0,0,-0.174098014831543,-0.00725990533828735,0.0250624064356089,0.00750521942973137,-0.0121716186404228,0.00206372514367104,0
"Bergamo","Lombardia",1989,921984,4.17069435119629,-0.131166845560074,0,0,0,-0.122144341468811,0.00771456956863403,-0.028348658233881,-0.0110290702432394,0.0117936208844185,-0.00665059313178062,0.00216923514381051
"Bergamo","Lombardia",1990,927072,0.064774326980114,0.681104838848114,0,0,0,0.0512899160385132,0.0123770833015442,0.00431465962901711,-0.00876027718186378,0.00626364722847939,0.0516628175973892,-0.00216923514381051
"Bergamo","Lombardia",1991,932370,-0.929043531417847,-0.626299798488617,0,0,0,0.280741453170776,0.00186771154403687,-0.00431465962901711,0.0170747581869364,0.0297796949744225,0.0639414712786674,0
"Bergamo","Lombardia",1992,939870,-0.622811794281006,0.0335990376770496,0,0,0,0.107765913009644,-0.0308844447135925,0,-0.00983254984021187,0.0217529684305191,-0.0319422781467438,0
"Bergamo","Lombardia",1993,946829,0.518279373645782,-0.189419373869896,0,0,0,-0.0952908992767334,-0.00737696886062622,0,0.00194809213280678,-0.0397816076874733,-0.0461811125278473,0
