"year","magazine","price","change","length","cpi","cuminf","sales","cumsales","included","id"
48,"Architectural Review",1,0,2,19.14,0.17544868,242755,0.043424879,0,NA
49,"Architectural Review",1,0,3,19.32,0.18480912,243382,0.0460044,0,NA
50,"Architectural Review",1,0,4,19.46,0.19202937,251118,0.077295123,0,NA
51,"Architectural Review",1,1,5,20.64,0.25089923,257160,0.10107063,0,NA
52,"Architectural Review",2,0,1,21.15,0.024408965,274473,0.065154436,0,NA
53,"Architectural Review",2,0,2,21.57,0.04407252,267949,0.041098205,1,10
54,"Architectural Review",2,0,3,21.8,0.054679029,254112,-0.011923345,1,10
55,"Architectural Review",2,0,4,22.13,0.069703213,252832,-0.016973223,1,10
56,"Architectural Review",2,0,5,22.92,0.10477895,257368,0.00080850804,1,11
57,"Architectural Review",2,0,6,23.71,0.13866596,251761,-0.021218234,1,11
58,"Architectural Review",2,0,7,24.11,0.15539575,234011,-0.094330336,1,11
59,"Architectural Review",2,0,8,24.37,0.16612193,227322,-0.12333094,1,12
60,"Architectural Review",2,0,9,24.65,0.17754596,225896,-0.12962374,1,12
61,"Architectural Review",2,0,10,24.85,0.18562681,218997,-0.16064043,1,12
62,"Architectural Review",2,0,11,25.08,0.19483978,217299,-0.16842417,1,13
63,"Architectural Review",2,0,12,25.27,0.20238698,225468,-0.13152022,1,13
64,"Architectural Review",2,0,13,25.58,0.21457986,226379,-0.12748787,1,13
65,"Architectural Review",2,0,14,25.94,0.22855524,237203,-0.080782145,1,14
66,"Architectural Review",2,0,15,26.54,0.25142209,243599,-0.054175029,1,14
67,"Architectural Review",2,0,16,27.4,0.28331207,248814,-0.03299283,1,14
68,"Architectural Review",2,0,17,28.45,0.32091722,246664,-0.041671373,1,15
69,"Architectural Review",2,0,18,29.74,0.365262,232825,-0.099411361,1,15
70,"Architectural Review",2,1,19,31.08,0.40933358,234103,-0.09393727,1,15
71,"Architectural Review",3,0,1,32.43,0.042519395,246398,0.051186925,1,16
72,"Architectural Review",3,0,2,33.38,0.071392393,255773,0.088529143,1,16
73,"Architectural Review",3,0,3,34.58,0.10671095,270173,0.14330131,1,16
74,"Architectural Review",3,0,4,38.15,0.20496123,269481,0.1407367,1,17
75,"Architectural Review",3,1,5,42.24,0.30680311,256683,0.092080671,1,17
76,"Architectural Review",4,1,1,44.5,0.05212155,266460,0.037382278,1,17
77,"Architectural Review",5,0,1,47.36,0.062288801,243387,-0.090571369,1,18
78,"Architectural Review",5,0,2,50.6,0.12846239,251526,-0.057677775,1,18
79,"Architectural Review",5,0,3,54.9,0.21002416,225692,-0.1660529,1,18
80,"Architectural Review",5,NA,4,NA,NA,NA,NA,0,NA
47,"Atlantic",0.5,1,1,17.91,0.10902751,242130,0.040846947,0,NA
48,"Atlantic",0.5,0,2,19.14,0.17544868,242755,0.043424879,0,NA
49,"Atlantic",0.5,0,3,19.32,0.18480912,243382,0.0460044,0,NA
50,"Atlantic",0.5,0,4,19.46,0.19202937,251118,0.077295123,0,NA
51,"Atlantic",0.5,0,5,20.64,0.25089923,257160,0.10107063,0,NA
52,"Atlantic",0.5,0,6,21.15,0.2753082,274473,0.16622507,0,NA
53,"Atlantic",0.5,0,7,21.57,0.29497175,267949,0.14216884,1,19
54,"Atlantic",0.5,0,8,21.8,0.30557826,254112,0.08914729,1,19
55,"Atlantic",0.5,0,9,22.13,0.32060245,252832,0.084097412,1,19
56,"Atlantic",0.5,0,10,22.92,0.35567818,257368,0.10187914,1,20
57,"Atlantic",0.5,1,11,23.71,0.38956519,251761,0.0798524,1,20
58,"Atlantic",0.6,0,1,24.11,0.016729792,234011,-0.073112102,1,20
59,"Atlantic",0.6,0,2,24.37,0.027455968,227322,-0.10211271,1,21
60,"Atlantic",0.6,0,3,24.65,0.03888,225896,-0.10840551,1,21
61,"Atlantic",0.6,0,4,24.85,0.046960852,218997,-0.13942219,1,21
62,"Atlantic",0.6,1,5,25.08,0.056173816,217299,-0.14720594,1,22
63,"Atlantic",0.75,0,1,25.27,0.0075472056,225468,0.036903957,1,22
64,"Atlantic",0.75,0,2,25.58,0.01974008,226379,0.040936301,1,22
65,"Atlantic",0.75,0,3,25.94,0.033715463,237203,0.087642029,1,23
66,"Atlantic",0.75,0,4,26.54,0.056582313,243599,0.11424915,1,23
67,"Atlantic",0.75,0,5,27.4,0.088472298,248814,0.13543134,1,23
68,"Atlantic",0.75,0,6,28.45,0.12607744,246664,0.1267528,1,24
69,"Atlantic",0.75,0,7,29.74,0.17042223,232825,0.069012813,1,24
70,"Atlantic",0.75,1,8,31.08,0.21449381,234103,0.074486904,1,24
71,"Atlantic",1,0,1,32.43,0.042519395,246398,0.051186925,1,25
72,"Atlantic",1,0,2,33.38,0.071392393,255773,0.088529143,1,25
73,"Atlantic",1,0,3,34.58,0.10671095,270173,0.14330131,1,25
74,"Atlantic",1,0,4,38.15,0.20496123,269481,0.1407367,1,26
75,"Atlantic",1,0,5,42.24,0.30680311,256683,0.092080671,1,26
76,"Atlantic",1,0,6,44.5,0.35892466,266460,0.12946295,1,26
77,"Atlantic",1,1,7,47.36,0.42121347,243387,0.03889158,1,27
78,"Atlantic",1.25,1,1,50.6,0.066173586,251526,0.032893595,1,27
79,"Atlantic",1.5,0,1,54.9,0.081561772,225692,-0.10837513,1,27
80,"Atlantic",1.5,NA,2,NA,NA,NA,NA,0,NA
48,"Audio",0.35,1,1,19.14,0.06642117,242755,0.0025779323,0,NA
49,"Audio",0.35,0,2,19.32,0.075781613,243382,0.0051574535,0,NA
50,"Audio",0.35,0,3,19.46,0.083001861,251118,0.036448176,0,NA
51,"Audio",0.35,0,4,20.64,0.14187172,257160,0.060223687,0,NA
52,"Audio",0.35,0,5,21.15,0.16628069,274473,0.12537812,0,NA
53,"Audio",0.35,0,6,21.57,0.18594424,267949,0.10132189,1,28
54,"Audio",0.35,1,7,21.8,0.19655075,254112,0.048300343,1,28
55,"Audio",0.5,0,1,22.13,0.015024184,252832,-0.0050498782,1,28
56,"Audio",0.5,0,2,22.92,0.050099922,257368,0.012731853,1,29
57,"Audio",0.5,0,3,23.71,0.08398693,251761,-0.0092948899,1,29
58,"Audio",0.5,0,4,24.11,0.10071672,234011,-0.082406992,1,29
59,"Audio",0.5,0,5,24.37,0.1114429,227322,-0.1114076,1,30
60,"Audio",0.5,0,6,24.65,0.12286693,225896,-0.1177004,1,30
61,"Audio",0.5,0,7,24.85,0.13094778,218997,-0.14871708,1,30
62,"Audio",0.5,0,8,25.08,0.14016075,217299,-0.15650083,1,31
63,"Audio",0.5,1,9,25.27,0.14770795,225468,-0.11959687,1,31
64,"Audio",0.6,0,1,25.58,0.012192875,226379,0.0040323438,1,31
65,"Audio",0.6,0,2,25.94,0.026168257,237203,0.050738073,1,32
66,"Audio",0.6,0,3,26.54,0.049035108,243599,0.077345189,1,32
67,"Audio",0.6,0,4,27.4,0.080925092,248814,0.098527387,1,32
68,"Audio",0.6,0,5,28.45,0.11853024,246664,0.089848845,1,33
69,"Audio",0.6,0,6,29.74,0.16287502,232825,0.032108856,1,33
70,"Audio",0.6,0,7,31.08,0.2069466,234103,0.037582947,1,33
71,"Audio",0.6,0,8,32.43,0.249466,246398,0.088769873,1,34
72,"Audio",0.6,0,9,33.38,0.278339,255773,0.12611209,1,34
73,"Audio",0.6,1,10,34.58,0.31365756,270173,0.18088425,1,34
74,"Audio",0.75,0,1,38.15,0.098250277,269481,-0.0025646076,1,35
75,"Audio",0.75,0,2,42.24,0.20009216,256683,-0.051220634,1,35
76,"Audio",0.75,1,3,44.5,0.25221371,266460,-0.013838356,1,35
77,"Audio",1,0,1,47.36,0.062288801,243387,-0.090571369,1,36
78,"Audio",1,1,2,50.6,0.12846239,251526,-0.057677775,1,36
79,"Audio",1.25,0,1,54.9,0.081561772,225692,-0.10837513,1,36
80,"Audio",1.25,NA,2,NA,NA,NA,NA,0,NA
48,"Better Homes and Gardens",0.25,1,1,19.14,0.06642117,242755,0.0025779323,0,NA
49,"Better Homes and Gardens",0.25,0,2,19.32,0.075781613,243382,0.0051574535,0,NA
50,"Better Homes and Gardens",0.25,0,3,19.46,0.083001861,251118,0.036448176,0,NA
51,"Better Homes and Gardens",0.25,0,4,20.64,0.14187172,257160,0.060223687,0,NA
52,"Better Homes and Gardens",0.25,0,5,21.15,0.16628069,274473,0.12537812,0,NA
53,"Better Homes and Gardens",0.25,0,6,21.57,0.18594424,267949,0.10132189,1,37
54,"Better Homes and Gardens",0.25,0,7,21.8,0.19655075,254112,0.048300343,1,37
55,"Better Homes and Gardens",0.25,0,8,22.13,0.21157494,252832,0.043250465,1,37
56,"Better Homes and Gardens",0.25,1,9,22.92,0.24665068,257368,0.061032195,1,38
57,"Better Homes and Gardens",0.35,0,1,23.71,0.033887008,251761,-0.022026743,1,38
58,"Better Homes and Gardens",0.35,0,2,24.11,0.0506168,234011,-0.095138845,1,38
59,"Better Homes and Gardens",0.35,0,3,24.37,0.061342976,227322,-0.12413945,1,39
60,"Better Homes and Gardens",0.35,0,4,24.65,0.072767009,225896,-0.13043225,1,39
61,"Better Homes and Gardens",0.35,0,5,24.85,0.080847861,218997,-0.16144894,1,39
62,"Better Homes and Gardens",0.35,0,6,25.08,0.090060824,217299,-0.16923268,1,40
63,"Better Homes and Gardens",0.35,0,7,25.27,0.09760803,225468,-0.13232873,1,40
64,"Better Homes and Gardens",0.35,0,8,25.58,0.1098009,226379,-0.12829638,1,40
65,"Better Homes and Gardens",0.35,0,9,25.94,0.12377629,237203,-0.081590653,1,41
66,"Better Homes and Gardens",0.35,0,10,26.54,0.14664314,243599,-0.054983537,1,41
67,"Better Homes and Gardens",0.35,1,11,27.4,0.17853312,248814,-0.033801338,1,41
68,"Better Homes and Gardens",0.5,0,1,28.45,0.037605147,246664,-0.0086785427,1,42
69,"Better Homes and Gardens",0.5,0,2,29.74,0.081949928,232825,-0.066418531,1,42
70,"Better Homes and Gardens",0.5,0,3,31.08,0.12602151,234103,-0.06094444,1,42
71,"Better Homes and Gardens",0.5,0,4,32.43,0.16854091,246398,-0.0097575146,1,43
72,"Better Homes and Gardens",0.5,0,5,33.38,0.1974139,255773,0.027584703,1,43
73,"Better Homes and Gardens",0.5,0,6,34.58,0.23273247,270173,0.082356865,1,43
74,"Better Homes and Gardens",0.5,1,7,38.15,0.33098274,269481,0.079792258,1,44
75,"Better Homes and Gardens",0.75,1,1,42.24,0.10184188,256683,-0.048656026,1,44
76,"Better Homes and Gardens",0.95,0,1,44.5,0.05212155,266460,0.037382278,1,44
77,"Better Homes and Gardens",0.95,0,2,47.36,0.11441035,243387,-0.053189091,1,45
78,"Better Homes and Gardens",0.95,0,3,50.6,0.18058394,251526,-0.020295497,1,45
79,"Better Homes and Gardens",0.95,1,4,54.9,0.26214571,225692,-0.12867062,1,45
80,"Better Homes and Gardens",1,NA,1,NA,NA,NA,NA,0,NA
49,"Business Week",0.25,1,1,19.32,0.0093604428,243382,0.0025795212,0,NA
50,"Business Week",0.25,0,2,19.46,0.016580691,251118,0.033870244,0,NA
51,"Business Week",0.25,0,3,20.64,0.075450555,257160,0.057645755,0,NA
52,"Business Week",0.25,0,4,21.15,0.099859519,274473,0.12280019,0,NA
53,"Business Week",0.25,0,5,21.57,0.11952307,267949,0.09874396,1,46
54,"Business Week",0.25,0,6,21.8,0.13012958,254112,0.04572241,1,46
55,"Business Week",0.25,0,7,22.13,0.14515377,252832,0.040672532,1,46
56,"Business Week",0.25,1,8,22.92,0.18022951,257368,0.058454263,1,47
57,"Business Week",0.5,0,1,23.71,0.033887008,251761,-0.022026743,1,47
58,"Business Week",0.5,0,2,24.11,0.0506168,234011,-0.095138845,1,47
59,"Business Week",0.5,0,3,24.37,0.061342976,227322,-0.12413945,1,48
60,"Business Week",0.5,0,4,24.65,0.072767009,225896,-0.13043225,1,48
61,"Business Week",0.5,0,5,24.85,0.080847861,218997,-0.16144894,1,48
62,"Business Week",0.5,0,6,25.08,0.090060824,217299,-0.16923268,1,49
63,"Business Week",0.5,0,7,25.27,0.09760803,225468,-0.13232873,1,49
64,"Business Week",0.5,0,8,25.58,0.1098009,226379,-0.12829638,1,49
65,"Business Week",0.5,0,9,25.94,0.12377629,237203,-0.081590653,1,50
66,"Business Week",0.5,0,10,26.54,0.14664314,243599,-0.054983537,1,50
67,"Business Week",0.5,1,11,27.4,0.17853312,248814,-0.033801338,1,50
68,"Business Week",1,0,1,28.45,0.037605147,246664,-0.0086785427,1,51
69,"Business Week",1,0,2,29.74,0.081949928,232825,-0.066418531,1,51
70,"Business Week",1,0,3,31.08,0.12602151,234103,-0.06094444,1,51
71,"Business Week",1,0,4,32.43,0.16854091,246398,-0.0097575146,1,52
72,"Business Week",1,0,5,33.38,0.1974139,255773,0.027584703,1,52
73,"Business Week",1,0,6,34.58,0.23273247,270173,0.082356865,1,52
74,"Business Week",1,0,7,38.15,0.33098274,269481,0.079792258,1,53
75,"Business Week",1,0,8,42.24,0.43282463,256683,0.031136231,1,53
76,"Business Week",1,1,9,44.5,0.48494618,266460,0.068518509,1,53
77,"Business Week",1.25,0,1,47.36,0.062288801,243387,-0.090571369,1,54
78,"Business Week",1.25,0,2,50.6,0.12846239,251526,-0.057677775,1,54
79,"Business Week",1.25,1,3,54.9,0.21002416,225692,-0.1660529,1,54
80,"Business Week",1.5,NA,1,NA,NA,NA,NA,0,NA
47,"Commentary",0.5,1,1,17.91,0.10902751,242130,0.040846947,0,NA
48,"Commentary",0.5,0,2,19.14,0.17544868,242755,0.043424879,0,NA
49,"Commentary",0.5,0,3,19.32,0.18480912,243382,0.0460044,0,NA
50,"Commentary",0.5,0,4,19.46,0.19202937,251118,0.077295123,0,NA
51,"Commentary",0.5,0,5,20.64,0.25089923,257160,0.10107063,0,NA
52,"Commentary",0.5,0,6,21.15,0.2753082,274473,0.16622507,0,NA
53,"Commentary",0.5,0,7,21.57,0.29497175,267949,0.14216884,1,55
54,"Commentary",0.5,0,8,21.8,0.30557826,254112,0.08914729,1,55
55,"Commentary",0.5,0,9,22.13,0.32060245,252832,0.084097412,1,55
56,"Commentary",0.5,0,10,22.92,0.35567818,257368,0.10187914,1,56
57,"Commentary",0.5,0,11,23.71,0.38956519,251761,0.0798524,1,56
58,"Commentary",0.5,1,12,24.11,0.40629498,234011,0.0067402978,1,56
59,"Commentary",0.6,0,1,24.37,0.010726175,227322,-0.029000608,1,57
60,"Commentary",0.6,0,2,24.65,0.022150208,225896,-0.035293406,1,57
61,"Commentary",0.6,0,3,24.85,0.03023106,218997,-0.066310092,1,57
62,"Commentary",0.6,0,4,25.08,0.039444024,217299,-0.074093837,1,58
63,"Commentary",0.6,1,5,25.27,0.046991229,225468,-0.037189881,1,58
64,"Commentary",0.75,0,1,25.58,0.012192875,226379,0.0040323438,1,58
65,"Commentary",0.75,0,2,25.94,0.026168257,237203,0.050738073,1,59
66,"Commentary",0.75,0,3,26.54,0.049035108,243599,0.077345189,1,59
67,"Commentary",0.75,1,4,27.4,0.080925092,248814,0.098527387,1,59
68,"Commentary",1,0,1,28.45,0.037605147,246664,-0.0086785427,1,60
69,"Commentary",1,0,2,29.74,0.081949928,232825,-0.066418531,1,60
70,"Commentary",1,0,3,31.08,0.12602151,234103,-0.06094444,1,60
71,"Commentary",1,0,4,32.43,0.16854091,246398,-0.0097575146,1,61
72,"Commentary",1,1,5,33.38,0.1974139,255773,0.027584703,1,61
73,"Commentary",1.25,0,1,34.58,0.035318562,270173,0.054772162,1,61
74,"Commentary",1.25,1,2,38.15,0.13356884,269481,0.052207555,1,62
75,"Commentary",1.5,0,1,42.24,0.10184188,256683,-0.048656026,1,62
76,"Commentary",1.5,1,2,44.5,0.15396343,266460,-0.011273748,1,62
77,"Commentary",2,0,1,47.36,0.062288801,243387,-0.090571369,1,63
78,"Commentary",2,1,2,50.6,0.12846239,251526,-0.057677775,1,63
79,"Commentary",2.5,0,1,54.9,0.081561772,225692,-0.10837513,1,63
80,"Commentary",2.5,NA,2,NA,NA,NA,NA,0,NA
47,"Consumer Reports ",0.35,1,1,17.91,0.10902751,242130,0.040846947,0,NA
48,"Consumer Reports ",0.35,0,2,19.14,0.17544868,242755,0.043424879,0,NA
49,"Consumer Reports ",0.35,0,3,19.32,0.18480912,243382,0.0460044,0,NA
50,"Consumer Reports ",0.35,0,4,19.46,0.19202937,251118,0.077295123,0,NA
51,"Consumer Reports ",0.35,0,5,20.64,0.25089923,257160,0.10107063,0,NA
52,"Consumer Reports ",0.35,0,6,21.15,0.2753082,274473,0.16622507,0,NA
53,"Consumer Reports ",0.35,0,7,21.57,0.29497175,267949,0.14216884,1,64
54,"Consumer Reports ",0.35,0,8,21.8,0.30557826,254112,0.08914729,1,64
55,"Consumer Reports ",0.35,0,9,22.13,0.32060245,252832,0.084097412,1,64
56,"Consumer Reports ",0.35,0,10,22.92,0.35567818,257368,0.10187914,1,65
57,"Consumer Reports ",0.35,1,11,23.71,0.38956519,251761,0.0798524,1,65
58,"Consumer Reports ",0.5,0,1,24.11,0.016729792,234011,-0.073112102,1,65
59,"Consumer Reports ",0.5,0,2,24.37,0.027455968,227322,-0.10211271,1,66
60,"Consumer Reports ",0.5,0,3,24.65,0.03888,225896,-0.10840551,1,66
61,"Consumer Reports ",0.5,0,4,24.85,0.046960852,218997,-0.13942219,1,66
62,"Consumer Reports ",0.5,0,5,25.08,0.056173816,217299,-0.14720594,1,67
63,"Consumer Reports ",0.5,0,6,25.27,0.063721021,225468,-0.11030198,1,67
64,"Consumer Reports ",0.5,0,7,25.58,0.075913896,226379,-0.10626964,1,67
65,"Consumer Reports ",0.5,0,8,25.94,0.089889279,237203,-0.05956391,1,68
66,"Consumer Reports ",0.5,0,9,26.54,0.11275613,243599,-0.032956794,1,68
67,"Consumer Reports ",0.5,0,10,27.4,0.14464611,248814,-0.011774595,1,68
68,"Consumer Reports ",0.5,0,11,28.45,0.18225126,246664,-0.020453138,1,69
69,"Consumer Reports ",0.5,1,12,29.74,0.22659604,232825,-0.078193126,1,69
70,"Consumer Reports ",0.6,0,1,31.08,0.044071584,234103,0.005474091,1,69
71,"Consumer Reports ",0.6,0,2,32.43,0.086590979,246398,0.056661016,1,70
72,"Consumer Reports ",0.6,0,3,33.38,0.11546398,255773,0.094003234,1,70
73,"Consumer Reports ",0.6,1,4,34.58,0.15078254,270173,0.1487754,1,70
74,"Consumer Reports ",1,0,1,38.15,0.098250277,269481,-0.0025646076,1,71
75,"Consumer Reports ",1,0,2,42.24,0.20009216,256683,-0.051220634,1,71
76,"Consumer Reports ",1,0,3,44.5,0.25221371,266460,-0.013838356,1,71
77,"Consumer Reports ",1,0,4,47.36,0.31450251,243387,-0.10440973,1,72
78,"Consumer Reports ",1,0,5,50.6,0.3806761,251526,-0.071516131,1,72
79,"Consumer Reports ",1,1,6,54.9,0.46223787,225692,-0.17989126,1,72
80,"Consumer Reports ",1.25,NA,1,NA,NA,NA,NA,0,NA
48,"Current History",0.35,1,1,19.14,0.06642117,242755,0.0025779323,0,NA
49,"Current History",0.35,0,2,19.32,0.075781613,243382,0.0051574535,0,NA
50,"Current History",0.35,0,3,19.46,0.083001861,251118,0.036448176,0,NA
51,"Current History",0.35,1,4,20.64,0.14187172,257160,0.060223687,0,NA
52,"Current History",0.5,0,1,21.15,0.024408965,274473,0.065154436,0,NA
53,"Current History",0.5,0,2,21.57,0.04407252,267949,0.041098205,1,73
54,"Current History",0.5,0,3,21.8,0.054679029,254112,-0.011923345,1,73
55,"Current History",0.5,0,4,22.13,0.069703213,252832,-0.016973223,1,73
56,"Current History",0.5,1,5,22.92,0.10477895,257368,0.00080850804,1,74
57,"Current History",0.65,0,1,23.71,0.033887008,251761,-0.022026743,1,74
58,"Current History",0.65,0,2,24.11,0.0506168,234011,-0.095138845,1,74
59,"Current History",0.65,1,3,24.37,0.061342976,227322,-0.12413945,1,75
60,"Current History",0.85,0,1,24.65,0.011424033,225896,-0.0062927982,1,75
61,"Current History",0.85,0,2,24.85,0.019504885,218997,-0.037309483,1,75
62,"Current History",0.85,0,3,25.08,0.028717848,217299,-0.045093229,1,76
63,"Current History",0.85,0,4,25.27,0.036265054,225468,-0.0081892726,1,76
64,"Current History",0.85,1,5,25.58,0.048457929,226379,-0.0041569287,1,76
65,"Current History",0.9,0,1,25.94,0.013975383,237203,0.046705729,1,77
66,"Current History",0.9,1,2,26.54,0.036842233,243599,0.073312845,1,77
67,"Current History",0.95,0,1,27.4,0.031889984,248814,0.021182199,1,77
68,"Current History",0.95,0,2,28.45,0.069495132,246664,0.012503656,1,78
69,"Current History",0.95,1,3,29.74,0.11383991,232825,-0.045236332,1,78
70,"Current History",1,0,1,31.08,0.044071584,234103,0.005474091,1,78
71,"Current History",1,0,2,32.43,0.086590979,246398,0.056661016,1,79
72,"Current History",1,0,3,33.38,0.11546398,255773,0.094003234,1,79
73,"Current History",1,0,4,34.58,0.15078254,270173,0.1487754,1,79
74,"Current History",1,1,5,38.15,0.24903282,269481,0.14621079,1,80
75,"Current History",1.5,0,1,42.24,0.10184188,256683,-0.048656026,1,80
76,"Current History",1.5,1,2,44.5,0.15396343,266460,-0.011273748,1,80
77,"Current History",1.75,0,1,47.36,0.062288801,243387,-0.090571369,1,81
78,"Current History",1.75,1,2,50.6,0.12846239,251526,-0.057677775,1,81
79,"Current History",2,1,1,54.9,0.081561772,225692,-0.10837513,1,81
80,"Current History",2.25,NA,1,NA,NA,NA,NA,0,NA
49,"Ebony",0.3,1,1,19.32,0.0093604428,243382,0.0025795212,0,NA
50,"Ebony",0.3,0,2,19.46,0.016580691,251118,0.033870244,0,NA
51,"Ebony",0.3,0,3,20.64,0.075450555,257160,0.057645755,0,NA
52,"Ebony",0.3,0,4,21.15,0.099859519,274473,0.12280019,0,NA
53,"Ebony",0.3,0,5,21.57,0.11952307,267949,0.09874396,1,82
54,"Ebony",0.3,0,6,21.8,0.13012958,254112,0.04572241,1,82
55,"Ebony",0.3,0,7,22.13,0.14515377,252832,0.040672532,1,82
56,"Ebony",0.3,1,8,22.92,0.18022951,257368,0.058454263,1,83
57,"Ebony",0.35,0,1,23.71,0.033887008,251761,-0.022026743,1,83
58,"Ebony",0.35,0,2,24.11,0.0506168,234011,-0.095138845,1,83
59,"Ebony",0.35,0,3,24.37,0.061342976,227322,-0.12413945,1,84
60,"Ebony",0.35,0,4,24.65,0.072767009,225896,-0.13043225,1,84
61,"Ebony",0.35,0,5,24.85,0.080847861,218997,-0.16144894,1,84
62,"Ebony",0.35,0,6,25.08,0.090060824,217299,-0.16923268,1,85
63,"Ebony",0.35,1,7,25.27,0.09760803,225468,-0.13232873,1,85
64,"Ebony",0.5,0,1,25.58,0.012192875,226379,0.0040323438,1,85
65,"Ebony",0.5,0,2,25.94,0.026168257,237203,0.050738073,1,86
66,"Ebony",0.5,0,3,26.54,0.049035108,243599,0.077345189,1,86
67,"Ebony",0.5,0,4,27.4,0.080925092,248814,0.098527387,1,86
68,"Ebony",0.5,1,5,28.45,0.11853024,246664,0.089848845,1,87
69,"Ebony",0.6,1,1,29.74,0.04434478,232825,-0.057739988,1,87
70,"Ebony",0.75,0,1,31.08,0.044071584,234103,0.005474091,1,87
71,"Ebony",0.75,0,2,32.43,0.086590979,246398,0.056661016,1,88
72,"Ebony",0.75,0,3,33.38,0.11546398,255773,0.094003234,1,88
73,"Ebony",0.75,0,4,34.58,0.15078254,270173,0.1487754,1,88
74,"Ebony",0.75,0,5,38.15,0.24903282,269481,0.14621079,1,89
75,"Ebony",0.75,1,6,42.24,0.3508747,256683,0.097554762,1,89
76,"Ebony",1,1,1,44.5,0.05212155,266460,0.037382278,1,89
77,"Ebony",1.25,0,1,47.36,0.062288801,243387,-0.090571369,1,90
78,"Ebony",1.25,0,2,50.6,0.12846239,251526,-0.057677775,1,90
79,"Ebony",1.25,1,3,54.9,0.21002416,225692,-0.1660529,1,90
80,"Ebony",1.5,NA,1,NA,NA,NA,NA,0,NA
48,"Esquire",0.5,1,1,19.14,0.06642117,242755,0.0025779323,0,NA
49,"Esquire",0.5,0,2,19.32,0.075781613,243382,0.0051574535,0,NA
50,"Esquire",0.5,0,3,19.46,0.083001861,251118,0.036448176,0,NA
51,"Esquire",0.5,0,4,20.64,0.14187172,257160,0.060223687,0,NA
52,"Esquire",0.5,0,5,21.15,0.16628069,274473,0.12537812,0,NA
53,"Esquire",0.5,0,6,21.57,0.18594424,267949,0.10132189,1,91
54,"Esquire",0.5,1,7,21.8,0.19655075,254112,0.048300343,1,91
55,"Esquire",0.6,0,1,22.13,0.015024184,252832,-0.0050498782,1,91
56,"Esquire",0.6,0,2,22.92,0.050099922,257368,0.012731853,1,92
57,"Esquire",0.6,0,3,23.71,0.08398693,251761,-0.0092948899,1,92
58,"Esquire",0.6,0,4,24.11,0.10071672,234011,-0.082406992,1,92
59,"Esquire",0.6,0,5,24.37,0.1114429,227322,-0.1114076,1,93
60,"Esquire",0.6,0,6,24.65,0.12286693,225896,-0.1177004,1,93
61,"Esquire",0.6,0,7,24.85,0.13094778,218997,-0.14871708,1,93
62,"Esquire",0.6,0,8,25.08,0.14016075,217299,-0.15650083,1,94
63,"Esquire",0.6,0,9,25.27,0.14770795,225468,-0.11959687,1,94
