"country","period","regineq","gdppc","pop","popgini","urban","social","unempl","dec","transrev","transaut"
"Ireland","1997-1999",0.1962206,23.3133,3.7113,0.2362,0.5857,9.8333,8,0.2742,0.1954,0.18
"Italy","1982-1984",0.2424242,10.8567,56.5617,0.4232,0.6675,14.8,9.3333,NA,NA,NA
"Italy","1985-1987",0.2434036,13.7,56.597,0.4234,0.6681,15.0667,11.1667,0.2657,0.2112,0.283
"Italy","1988-1990",0.2488592,17.24,56.6733,0.424,0.6675,15.3,11.8667,0.2827,0.2088,0.2754
"Italy","1991-1993",0.24601,19,56.8863,0.4245,0.6668,16.3667,10.8667,NA,NA,NA
"Italy","1994-1996",0.2578635,20.99,57.2347,0.4253,0.6663,16.9667,11.3333,0.2708,0.1554,0.2017
"Italy","1997-1999",0.2496982,22.21,57.5857,0.4264,0.6681,17.1667,11.5333,0.3253,0.1321,0.2039
"Netherlands","1982-1984",NA,11.2033,14.368,0.4153,0.8848,28.4667,12.5667,0.3576,0.2258,0.2822
"Netherlands","1985-1987",0.2079039,13.91,14.5763,0.4058,0.8857,25.8333,11.5667,0.3391,0.2095,0.2626
"Netherlands","1988-1990",0.1379757,17.36,14.8537,0.3998,0.8867,25.3,8.2667,0.3304,0.1917,0.2505
"Netherlands","1991-1993",0.1516617,19.6067,15.1757,0.3986,0.8882,26.3333,6.1667,0.3549,0.1822,0.2281
"Netherlands","1994-1996",0.1505586,21.7533,15.4527,0.3966,0.8901,18.5,6.8,0.3534,0.1763,0.2265
"Netherlands","1997-1999",0.1636341,24.4367,15.7033,0.3939,0.8929,13.1333,4.4667,0.326,0.169,0.2229
"Norway","1982-1984",0.150008,12.0733,4.1293,0.1741,0.71,12.1667,3.1,0.3296,0.1173,0.0374
"Norway","1985-1987",0.1631389,15.64,4.1697,0.1727,0.7144,12.5667,2.2667,0.3341,0.1144,0.0356
"Norway","1988-1990",0.1798919,18.56,4.2258,0.1749,0.7183,15.2667,4.3333,0.3336,0.1326,0.0357
"Norway","1991-1993",0.1983261,20.8567,4.2867,0.1799,0.725,16.8,5.9333,0.3169,0.1351,0.0494
"Norway","1994-1996",0.2257469,24.49,4.3592,0.1828,0.7333,15.8,5,0.3226,0.1212,0.0491
"Norway","1997-1999",0.263177,27.19,4.432,0.1862,0.7415,15.1667,3.4333,0.3381,0.1193,0.0525
"Portugal","1982-1984",0.2569179,6.6233,9.9517,0.4936,0.3388,11.1,7.4333,NA,6e-04,NA
"Portugal","1985-1987",0.2836756,8.0133,10.0054,0.4957,0.3892,10.6667,8.1333,0.0909,0.0156,0.0744
"Portugal","1988-1990",0.2125387,10.7833,9.9337,0.4972,0.4462,10.5667,5.2,0.1035,0.0391,0.0669
"Portugal","1991-1993",0.2054799,12.3833,9.8723,0.4996,0.5037,12.7667,4.6,0.1095,0.0372,0.0665
"Portugal","1994-1996",0.1856184,13.71,9.9197,0.5003,0.5622,12.5,7.1333,0.112,0.0345,0.0685
"Portugal","1997-1999",0.2023938,15.7033,9.9673,0.5009,0.6111,11.7333,5.4333,0.135,0.0542,0.063
"Sweden","1982-1984",0.07010152,11.1167,8.331,0.2405,0.8309,17.9667,3.6333,0.4036,0.0993,0.0191
"Sweden","1985-1987",0.08490658,13.9433,8.373,0.245,0.831,18.4,2.7667,0.4005,0.0836,0.0363
"Sweden","1988-1990",0.09190969,17.0133,8.496,0.2476,0.831,19.4333,1.7667,0.4085,0.0727,0.0161
"Sweden","1991-1993",0.1073554,17.8333,8.668,0.2498,0.8312,22.6,6.0667,0.3879,0.0722,0.0205
"Sweden","1994-1996",0.0977941,19.51,8.8182,0.2543,0.8317,21.4667,9.4667,0.3656,0.0643,0.0016
"Sweden","1997-1999",0.1354769,21.1233,8.8529,0.2606,0.8323,19.2333,8.4667,0.39,0.0629,-0.0056
"United Kingdom","1982-1984",0.2543426,9.84,56.4003,0.2758,0.8887,14.1333,11.2667,0.2887,0.1209,0.1082
"United Kingdom","1985-1987",0.2531655,12.6267,56.8487,0.2721,0.8896,13.8667,11.0333,0.288,0.1197,0.1086
"United Kingdom","1988-1990",0.2717373,16.0367,57.359,0.2693,0.8905,11.9333,7.6,0.2978,0.1235,0.1111
"United Kingdom","1991-1993",0.2866374,16.9067,57.8951,0.2677,0.8913,15.1333,9.4333,0.2665,0.1903,0.1935
"United Kingdom","1994-1996",0.2788885,19.54,58.25,0.2667,0.8923,15.2333,8.8,0.2567,0.1803,0.1916
"United Kingdom","1997-1999",0.2898415,21.4267,58.5318,0.2667,0.8937,13.7333,6.4,NA,0.1583,NA
"United States of America","1982-1984",0.4197799,14.4567,233.7603,0.5033,0.7419,11.4333,8.9333,0.5027,0.1434,0.1485
"United States of America","1985-1987",0.3319654,18.75,240.1153,0.5061,0.7464,10.7667,6.8,0.508,0.1393,0.1425
"United States of America","1988-1990",0.3311529,23.0567,246.9193,0.5098,0.7509,10.7333,5.4667,0.5251,0.136,0.1404
"United States of America","1991-1993",0.3380416,24.8833,255.1707,0.5106,0.756,12.7,7.0667,0.542,0.1485,0.1481
"United States of America","1994-1996",0.3212055,28.2333,264.8107,0.5088,0.7616,12.9,5.7,0.5721,0.1517,0.1454
"United States of America","1997-1999",0.3184749,30.9133,275.1679,0.5089,0.7678,12.6,4.5333,0.5924,0.1437,0.1356
