"year","pair","trade","gdp","sim","rlf","rer","cee","emu","dist","bor","lan","rert","ftrade","fgdp","fsim","frlf","frer"
1983,1,4.240608,12.90422,-0.7098257,7.41099,-2.637602,0,0,6.816736,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,1,4.27282,12.92197,-0.7132552,7.074325,-2.824782,0,0,6.816736,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,1,4.44066,12.93614,-0.7113176,7.308017,-2.84137,0,0,6.816736,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,1,4.828291,12.95306,-0.7098722,7.436665,-2.241171,0,0,6.816736,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,1,4.925836,12.97137,-0.7102471,7.351969,-1.842653,0,0,6.816736,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,1,5.033844,13.01259,-0.7126247,7.131204,-1.762379,0,0,6.816736,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,1,5.086756,13.05259,-0.7122831,7.259384,-1.855403,0,0,6.816736,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,1,5.309476,13.08794,-0.7101155,7.382405,-1.483356,0,0,6.816736,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,1,5.316246,13.11261,-0.7081046,7.535316,-1.488435,0,0,6.816736,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,1,5.397941,13.12634,-0.7081934,7.411658,-1.340386,0,0,6.816736,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,1,5.225376,13.12523,-0.7068645,7.615268,-1.443832,0,0,6.816736,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,1,5.236701,13.15289,-0.7075633,7.626678,-1.363767,0,0,6.816736,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,1,5.381463,13.18197,-0.7060031,7.637875,-1.087507,1,0,6.816736,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,1,5.427674,13.19827,-0.7052292,7.782535,-1.157547,1,0,6.816736,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,1,5.437255,13.22342,-0.708456,7.496933,-1.419299,1,0,6.816736,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,1,5.534374,13.25152,-0.7073423,7.573699,-1.432465,1,0,6.816736,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,1,5.630194,13.283,-0.708694,7.529772,-1.496715,1,1,6.816736,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,1,5.565774,13.32388,-0.7092215,7.355928,-1.752244,1,1,6.816736,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,1,5.665407,13.3338,-0.7092848,7.238238,-1.785826,1,1,6.816736,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,2,2.01458,11.86683,-0.6934366,8.63263,-2.224635,0,0,6.760415,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,2,2.240289,11.92251,-0.6932671,8.705584,-2.213982,0,0,6.760415,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,2,2.386401,11.96237,-0.6931657,8.805122,-2.2023,0,0,6.760415,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,2,2.486079,11.98559,-0.6933046,8.739536,-2.189831,0,0,6.760415,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,2,2.664465,12.05862,-0.6931562,8.871889,-2.176706,0,0,6.760415,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,2,2.832658,12.10616,-0.6936383,8.932121,-2.161012,0,0,6.760415,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,2,3.02083,12.14689,-0.6932153,8.900291,-2.13155,0,0,6.760415,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,2,3.17836,12.18304,-0.6933613,8.924697,-2.112916,0,0,6.760415,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,2,3.238955,12.22438,-0.6932983,8.944541,-2.144929,0,0,6.760415,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,2,3.472449,12.28545,-0.693304,8.998148,-2.091982,0,0,6.760415,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,2,3.605598,12.32989,-0.6932874,8.908283,-2.034809,0,0,6.760415,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,2,3.685527,12.36818,-0.6937055,8.869133,-1.950254,0,0,6.760415,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,2,3.797336,12.42117,-0.6941139,8.87106,-1.7751,0,0,6.760415,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,2,3.973293,12.46265,-0.6945539,8.86695,-1.439601,0,0,6.760415,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,2,3.786494,12.47618,-0.6972449,8.687066,-1.254933,0,0,6.760415,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,2,3.730146,12.46532,-0.6982964,8.606938,-1.03718,0,0,6.760415,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,2,3.8179,12.53139,-0.6986637,8.715925,-1.069445,0,0,6.760415,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,2,3.796418,12.56162,-0.7014472,8.593224,-0.9128237,0,0,6.760415,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,2,3.793041,12.56791,-0.6995908,8.674956,-0.6234659,0,0,6.760415,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,2,3.818902,12.61135,-0.7013968,8.60819,-0.3880925,0,0,6.760415,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,2,3.635606,12.62036,-0.7044187,8.473048,-0.2964942,0,0,6.760415,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,2,3.36821,12.61204,-0.7062301,8.363358,-0.6347109,0,0,6.760415,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,2,3.396069,12.63569,-0.7050371,8.44283,-0.8042639,0,0,6.760415,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,2,3.354337,12.66363,-0.7049695,8.3967,-0.9166757,0,0,6.760415,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,2,3.387924,12.68322,-0.7013748,8.584599,-1.105624,0,0,6.760415,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,2,3.478539,12.71187,-0.7001418,8.673467,-1.118035,0,0,6.760415,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,2,3.826212,12.74369,-0.6986563,8.775569,-0.5330288,0,0,6.760415,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,2,3.942386,12.75193,-0.7000958,8.70918,-0.1457318,0,0,6.760415,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,2,3.925645,12.7779,-0.7010791,8.647877,-0.0645607,0,0,6.760415,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,2,3.947439,12.80133,-0.7050204,8.468816,-0.1708573,0,0,6.760415,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,2,4.138249,12.83045,-0.7091174,8.330083,0.2026482,0,0,6.760415,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,2,4.202978,12.85431,-0.7120847,8.251451,0.186519,0,0,6.760415,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,2,4.286205,12.86452,-0.713089,8.258331,0.3324468,0,0,6.760415,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,2,4.158654,12.86744,-0.7138162,8.261222,0.2308785,0,0,6.760415,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,2,4.204797,12.90426,-0.7098918,8.505714,0.2959856,0,0,6.760415,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,2,4.342643,12.93674,-0.7111263,8.556016,0.5732563,1,0,6.760415,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,2,4.376839,12.95895,-0.7105024,8.575872,0.5174688,1,0,6.760415,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,2,4.329931,12.97962,-0.7073621,8.690569,0.2701208,1,0,6.760415,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,2,4.460958,13.00441,-0.7097504,8.683078,0.2571542,1,0,6.760415,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,2,4.483002,13.02827,-0.7101578,8.658294,0.1947725,1,0,6.760415,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,2,4.388232,13.06545,-0.7105581,8.850676,-0.0626494,1,0,6.760415,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,2,4.40915,13.07458,-0.7107127,8.93027,-0.0964029,1,0,6.760415,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,3,1.206907,11.6535,-0.7624946,6.670005,-1.455246,0,0,7.26892,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,3,1.546483,11.71195,-0.7565615,6.422754,-1.444593,0,0,7.26892,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,3,1.548789,11.73841,-0.7553817,6.349752,-1.432911,0,0,7.26892,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,3,1.608677,11.77551,-0.7572917,6.538291,-1.420442,0,0,7.26892,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,3,1.775179,11.83062,-0.7589282,6.701501,-1.407317,0,0,7.26892,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,3,1.857296,11.86761,-0.7531258,6.25982,-1.391623,0,0,7.26892,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,3,2.076921,11.91067,-0.7609316,6.80203,-1.36216,0,0,7.26892,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,3,2.184835,11.93735,-0.7630301,6.950469,-1.396081,0,0,7.26892,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,3,2.240289,11.97339,-0.7685495,7.226938,-1.565065,0,0,7.26892,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,3,2.559053,12.04559,-0.760466,6.889594,-1.512119,0,0,7.26892,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,3,2.914055,12.11563,-0.759629,6.74821,-1.454946,0,0,7.26892,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,3,3.036022,12.15467,-0.7672577,7.179713,-1.37807,0,0,7.26892,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,3,3.160958,12.21969,-0.763828,7.039705,-1.258745,0,0,7.26892,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,3,3.400956,12.2739,-0.7593064,6.788752,-0.9824185,0,0,7.26892,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,3,3.303411,12.30926,-0.7616072,7.049701,-0.776378,0,0,7.26892,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,3,3.245952,12.32177,-0.751003,6.880139,-0.5915908,0,0,7.26892,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,3,3.253352,12.36446,-0.7684419,7.567587,-0.6223167,0,0,7.26892,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,3,3.239091,12.39472,-0.7804086,7.951532,-0.5132979,0,0,7.26892,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,3,3.135061,12.40065,-0.7728578,7.788678,-0.3318811,0,0,7.26892,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,3,3.280276,12.45825,-0.769471,7.766832,-0.0872441,0,0,7.26892,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,3,3.376267,12.49107,-0.7623106,7.560125,0.1154417,0,0,7.26892,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,3,3.161494,12.49835,-0.7566965,7.319074,-0.1353551,0,0,7.26892,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,3,3.191804,12.52177,-0.753752,7.225162,-0.2546905,0,0,7.26892,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,3,3.168759,12.5492,-0.7539003,7.393784,-0.4229741,0,0,7.26892,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,3,3.149863,12.5641,-0.7467597,6.979596,-0.562059,0,0,7.26892,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,3,3.224974,12.58953,-0.7448608,6.897425,-0.5831505,0,0,7.26892,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,3,3.570354,12.61323,-0.7445331,6.930252,-0.0674724,0,0,7.26892,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,3,3.791966,12.63953,-0.7391664,6.190412,0.2967986,0,0,7.26892,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,3,3.807835,12.67668,-0.7360263,4.91864,0.4107032,0,0,7.26892,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,3,3.932912,12.72156,-0.7342593,5.076601,0.3610072,0,0,7.26892,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,3,4.049164,12.74867,-0.7436026,6.732332,0.6836108,0,0,7.26892,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,3,3.899944,12.74524,-0.7676803,8.082837,0.6447825,0,0,7.26892,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,3,3.901592,12.74158,-0.780818,8.360007,0.6337217,0,0,7.26892,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,3,3.684384,12.7408,-0.7857101,8.418905,0.3568716,0,0,7.26892,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,3,3.890647,12.77025,-0.7814664,8.362586,0.4952184,0,0,7.26892,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,3,4.090556,12.80711,-0.7812283,8.285601,0.8225041,1,0,7.26892,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,3,4.047833,12.83411,-0.7757505,8.181568,0.7505921,1,0,7.26892,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,3,4.106594,12.86254,-0.7619055,7.74466,0.5109847,1,0,7.26892,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,3,4.421392,12.90239,-0.7574229,7.441216,0.4832676,1,0,7.26892,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,3,4.407371,12.93004,-0.7558317,7.085513,0.4179526,1,1,7.26892,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,3,4.3815,12.98018,-0.7485175,5.288025,0.162424,1,1,7.26892,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,3,4.280529,12.98594,-0.7508945,5.691357,0.1288417,1,1,7.26892,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,4,3.344264,13.19445,-1.455562,4.16612,-1.888864,0,0,6.940222,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,4,3.452619,13.24765,-1.458514,4.62104,-1.878211,0,0,6.940222,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,4,3.541574,13.30695,-1.48788,5.43207,-1.866529,0,0,6.940222,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,4,3.742647,13.35743,-1.496811,5.502557,-1.85406,0,0,6.940222,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,4,3.862653,13.41991,-1.501006,5.566083,-1.840935,0,0,6.940222,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,4,3.81971,13.46417,-1.514794,6.132411,-1.82524,0,0,6.940222,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,4,3.876394,13.51545,-1.511741,6.023667,-1.795778,0,0,6.940222,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,4,3.883709,13.5593,-1.523856,6.398446,-1.768333,0,0,6.940222,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,4,3.881672,13.60121,-1.522312,6.281434,-1.726769,0,0,6.940222,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,4,3.962716,13.66798,-1.527407,6.383741,-1.718344,0,0,6.940222,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,4,4.088444,13.73748,-1.527997,5.884747,-1.734458,0,0,6.940222,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,4,4.25951,13.78463,-1.525661,5.480403,-1.661312,0,0,6.940222,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,4,4.506233,13.83004,-1.512947,4.43084,-1.467706,0,0,6.940222,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,4,4.734281,13.88236,-1.516922,3.515386,-1.136207,0,0,6.940222,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,4,4.566786,13.91404,-1.510904,5.65214,-1.019981,0,0,6.940222,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,4,4.599356,13.91114,-1.51153,5.923436,-0.7449644,0,0,6.940222,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,4,4.766038,13.95615,-1.491558,6.294361,-0.8299025,0,0,6.940222,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,4,4.946485,13.98962,-1.481151,6.825237,-0.7126279,0,0,6.940222,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,4,5.040353,14.0428,-1.529691,5.636462,-0.4225649,0,0,6.940222,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,4,5.147171,14.07793,-1.514278,6.730018,-0.1756295,0,0,6.940222,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,4,5.118104,14.09479,-1.509123,7.008528,-0.0084322,0,0,6.940222,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,4,4.901997,14.10525,-1.518929,6.810993,-0.3630069,0,0,6.940222,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,4,4.915175,14.13034,-1.524244,6.760091,-0.5646101,0,0,6.940222,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,4,4.888203,14.14677,-1.514614,7.204175,-0.7327142,0,0,6.940222,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,4,4.885578,14.16148,-1.524379,7.045205,-0.9353575,0,0,6.940222,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,4,4.960982,14.17683,-1.518527,7.268502,-0.9521225,0,0,6.940222,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,4,5.308346,14.20054,-1.519017,7.322736,-0.3787284,0,0,6.940222,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,4,5.473837,14.22453,-1.525288,7.255873,-0.0165656,0,0,6.940222,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,4,5.585474,14.26793,-1.535773,7.053052,0.0577806,0,0,6.940222,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,4,5.635379,14.3099,-1.53626,7.201363,-0.0350013,0,0,6.940222,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,4,5.817644,14.33707,-1.521345,7.434536,0.3307014,0,0,6.940222,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,4,5.816042,14.35127,-1.504681,7.662612,0.3118509,0,0,6.940222,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,4,5.900404,14.36364,-1.503864,7.565209,0.4634909,0,0,6.940222,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,4,5.834636,14.35744,-1.494213,7.667561,0.3657363,0,0,6.940222,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,4,5.982952,14.37698,-1.49011,7.724953,0.4318789,0,0,6.940222,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,4,6.154109,14.39832,-1.477168,7.795143,0.6883183,1,0,6.940222,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,4,6.124611,14.41009,-1.47005,7.920624,0.6427467,1,0,6.940222,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,4,6.091815,14.4273,-1.476436,7.874456,0.3936431,1,0,6.940222,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,4,6.251667,14.46084,-1.476677,7.907987,0.3844345,1,0,6.940222,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,4,6.2691,14.4927,-1.4823,7.859814,0.3197009,1,1,6.940222,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,4,6.206067,14.53289,-1.483722,7.841019,0.0641722,1,1,6.940222,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,4,6.258402,14.54937,-1.489542,7.793922,0.03059,1,1,6.940222,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,5,5.77897,13.66958,-1.873435,6.977626,-1.72716,0,0,6.253829,1,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,5,5.897151,13.71606,-1.870499,6.690282,-1.676374,0,0,6.253829,1,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,5,5.962561,13.76068,-1.888647,7.173576,-1.656055,0,0,6.253829,1,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,5,5.995985,13.78981,-1.878768,7.276337,-1.643585,0,0,6.253829,1,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,5,6.095853,13.8516,-1.882613,7.002577,-1.630461,0,0,6.253829,1,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,5,6.201946,13.90025,-1.901293,6.637585,-1.614766,0,0,6.253829,1,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,5,6.239227,13.93155,-1.879849,6.71673,-1.585304,0,0,6.253829,1,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,5,6.16487,13.93248,-1.853732,7.274389,-1.557859,0,0,6.253829,1,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,5,6.261856,13.984,-1.860816,7.320436,-1.516295,0,0,6.253829,1,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,5,6.390411,14.05601,-1.870951,6.900728,-1.446531,0,0,6.253829,1,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,5,6.523171,14.10619,-1.854053,6.470994,-1.317359,0,0,6.253829,1,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
