"id","year","country","indusid","importid","lrex","lrfdi","lgdt","lsimi","lrk","lrh","lrl","ldist","lkldist","lkgdt"
"1-2",1999,"germany",2,1,7.106934,4.89784,27.65638,-0.7831538,-0.4630021,-0.9829781,0.54195,7.559548,-7.596984,12.80496
"1-3",1989,"germany",3,1,5.63336,5.327876,27.39172,-0.8217111,-0.48259,-1.514944,0.4995219,7.559548,-7.424322,13.21897
"1-3",1990,"germany",3,1,5.577463,5.720312,27.40435,-0.8112386,-0.481769,-1.526354,0.4982678,7.559548,-7.408636,13.20257
"1-3",1991,"germany",3,1,6.53814,5.739793,27.43013,-0.7717743,-0.4777223,-1.506072,0.5025283,7.559548,-7.410252,13.10398
"1-3",1992,"germany",3,1,6.53814,5.53339,27.44324,-0.7687534,-0.4729931,-1.359904,0.5058399,7.559548,-7.399535,12.98046
"1-3",1993,"germany",3,1,6.53814,5.710427,27.46319,-0.770839,-0.4664921,-1.30238,0.5116327,7.559548,-7.394182,12.81136
"1-3",1994,"germany",3,1,5.783825,5.616771,27.50373,-0.7751783,-0.4634577,-1.267242,0.5165587,7.559548,-7.408482,12.74682
"1-3",1995,"germany",3,1,6.866204,5.768321,27.53065,-0.7752604,-0.4548637,-1.211066,0.5253446,7.559548,-7.409932,12.5227
"1-3",1996,"germany",3,1,6.866204,4.969813,27.55265,-0.7700476,-0.4458345,-1.153308,0.5269018,7.559548,-7.353447,12.28392
"1-3",1997,"germany",3,1,6.866204,6.200509,27.59175,-0.77297,-0.4476942,-1.095314,0.5306107,7.559548,-7.395543,12.35266
"1-3",1998,"germany",3,1,5.802421,6.135565,27.61901,-0.7770438,-0.4512249,-1.03858,0.5360818,7.559548,-7.463593,12.46238
"1-3",1999,"germany",3,1,6.456456,5.361292,27.65638,-0.7831538,-0.4630021,-0.9829781,0.54195,7.559548,-7.596984,12.80496
"1-4",1989,"germany",4,1,6.572143,5.42495,27.39172,-0.8217111,-0.48259,-1.514944,0.4995219,7.559548,-7.424322,13.21897
"1-4",1990,"germany",4,1,8.122431,5.375278,27.40435,-0.8112386,-0.481769,-1.526354,0.4982678,7.559548,-7.408636,13.20257
"1-4",1991,"germany",4,1,8.122431,5.332719,27.43013,-0.7717743,-0.4777223,-1.506072,0.5025283,7.559548,-7.410252,13.10398
"1-4",1992,"germany",4,1,8.122431,5.420535,27.44324,-0.7687534,-0.4729931,-1.359904,0.5058399,7.559548,-7.399535,12.98046
"1-4",1993,"germany",4,1,8.122431,4.983607,27.46319,-0.770839,-0.4664921,-1.30238,0.5116327,7.559548,-7.394182,12.81136
"1-4",1994,"germany",4,1,8.122431,4.770685,27.50373,-0.7751783,-0.4634577,-1.267242,0.5165587,7.559548,-7.408482,12.74682
"1-4",1995,"germany",4,1,7.799508,4.682131,27.53065,-0.7752604,-0.4548637,-1.211066,0.5253446,7.559548,-7.409932,12.5227
"1-4",1996,"germany",4,1,7.799508,5.958425,27.55265,-0.7700476,-0.4458345,-1.153308,0.5269018,7.559548,-7.353447,12.28392
"1-4",1997,"germany",4,1,7.799508,6.637258,27.59175,-0.77297,-0.4476942,-1.095314,0.5306107,7.559548,-7.395543,12.35266
"1-4",1998,"germany",4,1,7.966379,6.456769,27.61901,-0.7770438,-0.4512249,-1.03858,0.5360818,7.559548,-7.463593,12.46238
"1-4",1999,"germany",4,1,7.966379,6.224558,27.65638,-0.7831538,-0.4630021,-0.9829781,0.54195,7.559548,-7.596984,12.80496
"10-1",1989,"germany",1,10,7.944421,7.65112,27.86767,-1.129227,-1.339761,-0.4208309,-0.0194649,8.649085,-11.41935,37.33601
"10-1",1990,"germany",1,10,7.999041,7.842671,27.89001,-1.121114,-1.326742,-0.4444962,-0.007926,8.649085,-11.40655,37.00285
"10-1",1991,"germany",1,10,8.10301,7.650169,27.92436,-1.065725,-1.316629,-0.4604986,0.0047351,8.649085,-11.42859,36.76603
"10-1",1992,"germany",1,10,8.12643,7.667626,27.93473,-1.05873,-1.306493,-0.4771361,0.0156894,8.649085,-11.43567,36.49653
"10-1",1993,"germany",1,10,7.905958,7.609366,27.93126,-1.045577,-1.287956,-0.5056112,0.0222008,8.649085,-11.33166,35.97423
"10-1",1994,"germany",1,10,7.947289,7.553811,27.95508,-1.04085,-1.267587,-0.5033405,0.0328144,8.649085,-11.24729,35.43551
"10-1",1995,"germany",1,10,8.006601,7.571989,27.98343,-1.04198,-1.249848,-0.4807917,0.0416017,8.649085,-11.16985,34.97501
"10-1",1996,"germany",1,10,8.04469,7.686162,27.99964,-1.029503,-1.230363,-0.5434956,0.0523614,8.649085,-11.09439,34.44972
"10-1",1997,"germany",1,10,7.907983,7.804659,28.02098,-1.021888,-1.209882,-0.5966086,0.0660226,8.649085,-11.03541,33.9021
"10-1",1998,"germany",1,10,7.975771,7.854769,28.03683,-1.020434,-1.193612,-0.6432753,0.0786035,8.649085,-11.0035,33.4651
"10-1",1999,"germany",1,10,7.989493,7.166266,28.05325,-1.015388,-1.181482,-0.6846518,0.0911305,8.649085,-11.00693,33.14441
"10-2",1989,"germany",2,10,8.489266,6.60123,27.86767,-1.129227,-1.339761,-0.4208309,-0.0194649,8.649085,-11.41935,37.33601
"10-2",1990,"germany",2,10,8.623336,6.865891,27.89001,-1.121114,-1.326742,-0.4444962,-0.007926,8.649085,-11.40655,37.00285
"10-2",1991,"germany",2,10,9.62415,6.952729,27.92436,-1.065725,-1.316629,-0.4604986,0.0047351,8.649085,-11.42859,36.76603
"10-2",1992,"germany",2,10,9.62415,6.907755,27.93473,-1.05873,-1.306493,-0.4771361,0.0156894,8.649085,-11.43567,36.49653
"10-2",1993,"germany",2,10,9.62415,7.108244,27.93126,-1.045577,-1.287956,-0.5056112,0.0222008,8.649085,-11.33166,35.97423
"10-2",1994,"germany",2,10,8.509604,6.991177,27.95508,-1.04085,-1.267587,-0.5033405,0.0328144,8.649085,-11.24729,35.43551
"10-2",1995,"germany",2,10,9.779759,6.862758,27.98343,-1.04198,-1.249848,-0.4807917,0.0416017,8.649085,-11.16985,34.97501
"10-2",1996,"germany",2,10,9.779759,7.064759,27.99964,-1.029503,-1.230363,-0.5434956,0.0523614,8.649085,-11.09439,34.44972
"10-2",1997,"germany",2,10,9.779759,7.204149,28.02098,-1.021888,-1.209882,-0.5966086,0.0660226,8.649085,-11.03541,33.9021
"10-2",1998,"germany",2,10,8.609863,7.196687,28.03683,-1.020434,-1.193612,-0.6432753,0.0786035,8.649085,-11.0035,33.4651
"10-2",1999,"germany",2,10,9.305023,6.416732,28.05325,-1.015388,-1.181482,-0.6846518,0.0911305,8.649085,-11.00693,33.14441
"10-3",1989,"germany",3,10,8.118833,7.266129,27.86767,-1.129227,-1.339761,-0.4208309,-0.0194649,8.649085,-11.41935,37.33601
"10-3",1990,"germany",3,10,8.140781,7.377134,27.89001,-1.121114,-1.326742,-0.4444962,-0.007926,8.649085,-11.40655,37.00285
"10-3",1991,"germany",3,10,9.15358,7.031741,27.92436,-1.065725,-1.316629,-0.4604986,0.0047351,8.649085,-11.42859,36.76603
"10-3",1992,"germany",3,10,9.15358,7.484369,27.93473,-1.05873,-1.306493,-0.4771361,0.0156894,8.649085,-11.43567,36.49653
"10-3",1993,"germany",3,10,9.15358,7.569412,27.93126,-1.045577,-1.287956,-0.5056112,0.0222008,8.649085,-11.33166,35.97423
"10-3",1994,"germany",3,10,8.019876,7.614805,27.95508,-1.04085,-1.267587,-0.5033405,0.0328144,8.649085,-11.24729,35.43551
"10-3",1995,"germany",3,10,9.393037,7.308543,27.98343,-1.04198,-1.249848,-0.4807917,0.0416017,8.649085,-11.16985,34.97501
"10-3",1996,"germany",3,10,9.393037,7.589336,27.99964,-1.029503,-1.230363,-0.5434956,0.0523614,8.649085,-11.09439,34.44972
"10-3",1997,"germany",3,10,9.393037,7.527794,28.02098,-1.021888,-1.209882,-0.5966086,0.0660226,8.649085,-11.03541,33.9021
"10-3",1998,"germany",3,10,8.272289,7.63627,28.03683,-1.020434,-1.193612,-0.6432753,0.0786035,8.649085,-11.0035,33.4651
"10-3",1999,"germany",3,10,8.85378,7.024649,28.05325,-1.015388,-1.181482,-0.6846518,0.0911305,8.649085,-11.00693,33.14441
"10-4",1989,"germany",4,10,8.489904,6.658011,27.86767,-1.129227,-1.339761,-0.4208309,-0.0194649,8.649085,-11.41935,37.33601
"10-4",1990,"germany",4,10,10.16153,6.669498,27.89001,-1.121114,-1.326742,-0.4444962,-0.007926,8.649085,-11.40655,37.00285
"10-4",1991,"germany",4,10,10.16153,7.573531,27.92436,-1.065725,-1.316629,-0.4604986,0.0047351,8.649085,-11.42859,36.76603
"10-4",1992,"germany",4,10,10.16153,6.866933,27.93473,-1.05873,-1.306493,-0.4771361,0.0156894,8.649085,-11.43567,36.49653
"10-4",1993,"germany",4,10,10.16153,6.761573,27.93126,-1.045577,-1.287956,-0.5056112,0.0222008,8.649085,-11.33166,35.97423
"10-4",1994,"germany",4,10,10.16153,6.570883,27.95508,-1.04085,-1.267587,-0.5033405,0.0328144,8.649085,-11.24729,35.43551
"10-4",1995,"germany",4,10,9.730276,6.641182,27.98343,-1.04198,-1.249848,-0.4807917,0.0416017,8.649085,-11.16985,34.97501
"10-4",1996,"germany",4,10,9.730276,7.069874,27.99964,-1.029503,-1.230363,-0.5434956,0.0523614,8.649085,-11.09439,34.44972
"10-4",1997,"germany",4,10,9.730276,7.180831,28.02098,-1.021888,-1.209882,-0.5966086,0.0660226,8.649085,-11.03541,33.9021
"10-4",1998,"germany",4,10,9.840569,7.40367,28.03683,-1.020434,-1.193612,-0.6432753,0.0786035,8.649085,-11.0035,33.4651
"10-4",1999,"germany",4,10,9.840569,6.44572,28.05325,-1.015388,-1.181482,-0.6846518,0.0911305,8.649085,-11.00693,33.14441
"12-1",1989,"germany",1,12,7.654727,7.521859,27.14634,-0.721031,-0.3713196,-0.6020294,1.256369,8.493349,-13.82453,10.07997
"12-1",1990,"germany",1,12,7.687263,7.353722,27.18369,-0.7222083,-0.3569051,-0.6595072,1.253559,8.493349,-13.67823,9.701998
"12-1",1991,"germany",1,12,7.866799,7.357556,27.24357,-0.7092243,-0.3448164,-0.6683206,1.263563,8.493349,-13.66053,9.394029
"12-1",1992,"germany",1,12,7.991085,7.423568,27.26367,-0.70921,-0.3347817,-0.6803011,1.271734,8.493349,-13.6447,9.127379
"12-1",1993,"germany",1,12,7.892639,7.21008,27.27454,-0.70828,-0.3235876,-0.6887596,1.279674,8.493349,-13.61706,8.825705
"12-1",1994,"germany",1,12,7.929558,7.280697,27.30574,-0.7084247,-0.3116818,-0.6338626,1.287289,8.493349,-13.58062,8.510703
"12-1",1995,"germany",1,12,8.149804,7.24065,27.33002,-0.7078894,-0.3012065,-0.6072056,1.297094,8.493349,-13.57492,8.231978
"12-1",1996,"germany",1,12,8.215872,7.219642,27.36175,-0.7073963,-0.2908265,-0.5519882,1.309505,8.493349,-13.59218,7.957522
"12-1",1997,"germany",1,12,8.096726,7.425954,27.39679,-0.7079814,-0.282804,-0.4966169,1.319872,8.493349,-13.61209,7.747921
"12-1",1998,"germany",1,12,8.132707,7.313221,27.42489,-0.7102486,-0.2791096,-0.4425949,1.332172,8.493349,-13.68517,7.654549
"12-1",1999,"germany",1,12,8.026856,6.517671,27.45508,-0.7117656,-0.2798356,-0.389796,1.341162,8.493349,-13.7677,7.682908
"12-2",1989,"germany",2,12,8.347164,6.249975,27.14634,-0.721031,-0.3713196,-0.6020294,1.256369,8.493349,-13.82453,10.07997
"12-2",1990,"germany",2,12,8.450541,6.514713,27.18369,-0.7222083,-0.3569051,-0.6595072,1.253559,8.493349,-13.67823,9.701998
"12-2",1991,"germany",2,12,9.522022,6.64379,27.24357,-0.7092243,-0.3448164,-0.6683206,1.263563,8.493349,-13.66053,9.394029
"12-2",1992,"germany",2,12,9.522022,6.613384,27.26367,-0.70921,-0.3347817,-0.6803011,1.271734,8.493349,-13.6447,9.127379
"12-2",1993,"germany",2,12,9.522022,6.782192,27.27454,-0.70828,-0.3235876,-0.6887596,1.279674,8.493349,-13.61706,8.825705
"12-2",1994,"germany",2,12,8.420484,6.700731,27.30574,-0.7084247,-0.3116818,-0.6338626,1.287289,8.493349,-13.58062,8.510703
"12-2",1995,"germany",2,12,9.63861,6.511745,27.33002,-0.7078894,-0.3012065,-0.6072056,1.297094,8.493349,-13.57492,8.231978
"12-2",1996,"germany",2,12,9.63861,6.517671,27.36175,-0.7073963,-0.2908265,-0.5519882,1.309505,8.493349,-13.59218,7.957522
"12-2",1997,"germany",2,12,9.63861,7.077498,27.39679,-0.7079814,-0.282804,-0.4966169,1.319872,8.493349,-13.61209,7.747921
"12-2",1998,"germany",2,12,8.34353,7.235619,27.42489,-0.7102486,-0.2791096,-0.4425949,1.332172,8.493349,-13.68517,7.654549
"12-2",1999,"germany",2,12,9.022154,6.577861,27.45508,-0.7117656,-0.2798356,-0.389796,1.341162,8.493349,-13.7677,7.682908
"12-3",1989,"germany",3,12,8.237082,6.632002,27.14634,-0.721031,-0.3713196,-0.6020294,1.256369,8.493349,-13.82453,10.07997
"12-3",1990,"germany",3,12,8.378781,6.684612,27.18369,-0.7222083,-0.3569051,-0.6595072,1.253559,8.493349,-13.67823,9.701998
"12-3",1991,"germany",3,12,9.376498,6.710523,27.24357,-0.7092243,-0.3448164,-0.6683206,1.263563,8.493349,-13.66053,9.394029
"12-3",1992,"germany",3,12,9.376498,6.786717,27.26367,-0.70921,-0.3347817,-0.6803011,1.271734,8.493349,-13.6447,9.127379
"12-3",1993,"germany",3,12,9.376498,6.580639,27.27454,-0.70828,-0.3235876,-0.6887596,1.279674,8.493349,-13.61706,8.825705
"12-3",1994,"germany",3,12,8.20541,6.54535,27.30574,-0.7084247,-0.3116818,-0.6338626,1.287289,8.493349,-13.58062,8.510703
"12-3",1995,"germany",3,12,9.462725,6.483108,27.33002,-0.7078894,-0.3012065,-0.6072056,1.297094,8.493349,-13.57492,8.231978
"12-3",1996,"germany",3,12,9.462725,6.49224,27.36175,-0.7073963,-0.2908265,-0.5519882,1.309505,8.493349,-13.59218,7.957522
"12-3",1997,"germany",3,12,9.462725,6.411819,27.39679,-0.7079814,-0.282804,-0.4966169,1.319872,8.493349,-13.61209,7.747921
"12-3",1998,"germany",3,12,8.261346,6.726233,27.42489,-0.7102486,-0.2791096,-0.4425949,1.332172,8.493349,-13.68517,7.654549
"12-3",1999,"germany",3,12,8.813483,8.388223,27.45508,-0.7117656,-0.2798356,-0.389796,1.341162,8.493349,-13.7677,7.682908
"12-4",1989,"germany",4,12,8.473283,6.836259,27.14634,-0.721031,-0.3713196,-0.6020294,1.256369,8.493349,-13.82453,10.07997
"12-4",1990,"germany",4,12,10.16776,6.684612,27.18369,-0.7222083,-0.3569051,-0.6595072,1.253559,8.493349,-13.67823,9.701998
"12-4",1991,"germany",4,12,10.16776,7.314553,27.24357,-0.7092243,-0.3448164,-0.6683206,1.263563,8.493349,-13.66053,9.394029
"12-4",1992,"germany",4,12,10.16776,7.430707,27.26367,-0.70921,-0.3347817,-0.6803011,1.271734,8.493349,-13.6447,9.127379
"12-4",1993,"germany",4,12,10.16776,7.416378,27.27454,-0.70828,-0.3235876,-0.6887596,1.279674,8.493349,-13.61706,8.825705
"12-4",1994,"germany",4,12,10.16776,7.470794,27.30574,-0.7084247,-0.3116818,-0.6338626,1.287289,8.493349,-13.58062,8.510703
"12-4",1995,"germany",4,12,9.749071,6.712956,27.33002,-0.7078894,-0.3012065,-0.6072056,1.297094,8.493349,-13.57492,8.231978
"12-4",1996,"germany",4,12,9.749071,6.50129,27.36175,-0.7073963,-0.2908265,-0.5519882,1.309505,8.493349,-13.59218,7.957522
"12-4",1997,"germany",4,12,9.749071,6.895683,27.39679,-0.7079814,-0.282804,-0.4966169,1.319872,8.493349,-13.61209,7.747921
"12-4",1998,"germany",4,12,9.678737,6.549651,27.42489,-0.7102486,-0.2791096,-0.4425949,1.332172,8.493349,-13.68517,7.654549
"12-4",1999,"germany",4,12,9.678737,5.869297,27.45508,-0.7117656,-0.2798356,-0.389796,1.341162,8.493349,-13.7677,7.682908
"123-1",1995,"germany",1,123,4.939497,5.945421,27.65619,-0.8366503,-0.6971028,1.596289,-3.30817,8.615948,22.49682,19.27921
"123-1",1996,"germany",1,123,4.52396,6.349139,27.7298,-0.8583607,-0.777228,1.581756,-3.30256,8.615948,21.75813,21.55238
"123-1",1997,"germany",1,123,4.601162,6.998509,27.79881,-0.8793794,-0.8471193,1.536694,-3.296644,8.615948,21.10498,23.54891
"123-1",1998,"germany",1,123,4.304065,6.942157,27.85746,-0.9036136,-0.9235627,1.496803,-3.292142,8.615948,20.40756,25.72812
"123-1",1999,"germany",1,123,3.877432,6.269096,27.91328,-0.9233647,-0.9945235,1.461208,-3.285507,8.615948,19.73899,27.76042
"123-2",1995,"germany",2,123,7.241653,5.247024,27.65619,-0.8366503,-0.6971028,1.596289,-3.30817,8.615948,22.49682,19.27921
"123-2",1996,"germany",2,123,7.241653,6.152733,27.7298,-0.8583607,-0.777228,1.581756,-3.30256,8.615948,21.75813,21.55238
"123-2",1997,"germany",2,123,7.241653,6.542472,27.79881,-0.8793794,-0.8471193,1.536694,-3.296644,8.615948,21.10498,23.54891
"123-2",1998,"germany",2,123,6.049498,6.391917,27.85746,-0.9036136,-0.9235627,1.496803,-3.292142,8.615948,20.40756,25.72812
"123-2",1999,"germany",2,123,7.041849,5.652489,27.91328,-0.9233647,-0.9945235,1.461208,-3.285507,8.615948,19.73899,27.76042
"123-3",1995,"germany",3,123,7.147953,5.257495,27.65619,-0.8366503,-0.6971028,1.596289,-3.30817,8.615948,22.49682,19.27921
"123-3",1996,"germany",3,123,7.147953,5.874931,27.7298,-0.8583607,-0.777228,1.581756,-3.30256,8.615948,21.75813,21.55238
"123-3",1997,"germany",3,123,7.147953,6.603944,27.79881,-0.8793794,-0.8471193,1.536694,-3.296644,8.615948,21.10498,23.54891
"123-3",1998,"germany",3,123,6.036438,6.927558,27.85746,-0.9036136,-0.9235627,1.496803,-3.292142,8.615948,20.40756,25.72812
"123-3",1999,"germany",3,123,7.020638,6.779922,27.91328,-0.9233647,-0.9945235,1.461208,-3.285507,8.615948,19.73899,27.76042
"123-4",1995,"germany",4,123,8.976919,6.280396,27.65619,-0.8366503,-0.6971028,1.596289,-3.30817,8.615948,22.49682,19.27921
"123-4",1996,"germany",4,123,8.976919,6.814543,27.7298,-0.8583607,-0.777228,1.581756,-3.30256,8.615948,21.75813,21.55238
"123-4",1997,"germany",4,123,8.976919,7.257003,27.79881,-0.8793794,-0.8471193,1.536694,-3.296644,8.615948,21.10498,23.54891
"123-4",1998,"germany",4,123,8.843557,7.337588,27.85746,-0.9036136,-0.9235627,1.496803,-3.292142,8.615948,20.40756,25.72812
"123-4",1999,"germany",4,123,8.843557,7.069874,27.91328,-0.9233647,-0.9945235,1.461208,-3.285507,8.615948,19.73899,27.76042
"124-1",1989,"germany",1,124,4.174387,4.744932,26.61122,-0.8918219,0.9501384,0.0991758,2.108046,8.792905,-10.18137,25.28434
"124-1",1990,"germany",1,124,3.955082,4.663439,26.64453,-0.8917211,0.9404396,0.1050458,2.120265,8.792905,-10.37409,25.05757
"124-1",1991,"germany",1,124,4.000034,5.003946,26.73766,-0.9183449,0.9216288,0.106454,2.12543,8.792905,-10.58491,24.6422
"124-1",1992,"germany",1,124,3.956996,5.273,26.76917,-0.9004498,0.895131,0.1117501,2.132867,8.792905,-10.8833,23.96192
"124-1",1993,"germany",1,124,3.912023,5.164786,26.79705,-0.8816271,0.8680742,0.1088303,2.128699,8.792905,-11.08456,23.26183
"124-1",1994,"germany",1,124,3.996364,5.411646,26.8341,-0.8725821,0.830767,0.0720285,2.124935,8.792905,-11.3795,22.29288
"124-1",1995,"germany",1,124,4.483003,5.407172,26.86426,-0.8679624,0.7901694,0.0451242,2.112133,8.792905,-11.6239,21.22731
"124-1",1996,"germany",1,124,4.249923,5.802118,26.90126,-0.8640326,0.7489762,0.0236153,2.099504,8.792905,-11.87506,20.14841
"124-1",1997,"germany",1,124,4.796617,5.888878,26.93849,-0.8576642,0.7023385,0.0056645,2.082,8.792905,-12.13123,18.91994
"124-1",1998,"germany",1,124,4.916325,5.556828,26.93539,-0.886248,0.6735913,-0.0106355,2.072296,8.792905,-12.29867,18.14344
"124-1",1999,"germany",1,124,4.11741,5.164786,26.96057,-0.8841716,0.6718257,-0.0255043,2.071133,8.792905,-12.30397,18.1128
"124-2",1989,"germany",2,124,5.990964,3.713572,26.61122,-0.8918219,0.9501384,0.0991758,2.108046,8.792905,-10.18137,25.28434
"124-2",1990,"germany",2,124,6.122273,4.26268,26.64453,-0.8917211,0.9404396,0.1050458,2.120265,8.792905,-10.37409,25.05757
"124-2",1991,"germany",2,124,7.344977,4.043051,26.73766,-0.9183449,0.9216288,0.106454,2.12543,8.792905,-10.58491,24.6422
"124-2",1992,"germany",2,124,7.344977,5.214936,26.76917,-0.9004498,0.895131,0.1117501,2.132867,8.792905,-10.8833,23.96192
"124-2",1993,"germany",2,124,7.344977,4.584968,26.79705,-0.8816271,0.8680742,0.1088303,2.128699,8.792905,-11.08456,23.26183
"124-2",1994,"germany",2,124,6.460374,4.532599,26.8341,-0.8725821,0.830767,0.0720285,2.124935,8.792905,-11.3795,22.29288
"124-2",1995,"germany",2,124,7.752722,4.59512,26.86426,-0.8679624,0.7901694,0.0451242,2.112133,8.792905,-11.6239,21.22731
"124-2",1996,"germany",2,124,7.752722,4.584968,26.90126,-0.8640326,0.7489762,0.0236153,2.099504,8.792905,-11.87506,20.14841
"124-2",1997,"germany",2,124,7.752722,4.70048,26.93849,-0.8576642,0.7023385,0.0056645,2.082,8.792905,-12.13123,18.91994
"124-2",1998,"germany",2,124,6.497077,4.718499,26.93539,-0.886248,0.6735913,-0.0106355,2.072296,8.792905,-12.29867,18.14344
"124-2",1999,"germany",2,124,7.171042,4.060443,26.96057,-0.8841716,0.6718257,-0.0255043,2.071133,8.792905,-12.30397,18.1128
"124-3",1989,"germany",3,124,5.164215,3.828641,26.61122,-0.8918219,0.9501384,0.0991758,2.108046,8.792905,-10.18137,25.28434
"124-3",1990,"germany",3,124,4.924351,3.401197,26.64453,-0.8917211,0.9404396,0.1050458,2.120265,8.792905,-10.37409,25.05757
"124-3",1991,"germany",3,124,6.28637,3.465736,26.73766,-0.9183449,0.9216288,0.106454,2.12543,8.792905,-10.58491,24.6422
"124-3",1992,"germany",3,124,6.28637,3.988984,26.76917,-0.9004498,0.895131,0.1117501,2.132867,8.792905,-10.8833,23.96192
"124-3",1993,"germany",3,124,6.28637,4.043051,26.79705,-0.8816271,0.8680742,0.1088303,2.128699,8.792905,-11.08456,23.26183
"124-3",1994,"germany",3,124,5.559527,4.49981,26.8341,-0.8725821,0.830767,0.0720285,2.124935,8.792905,-11.3795,22.29288
"124-3",1995,"germany",3,124,7.021709,3.850147,26.86426,-0.8679624,0.7901694,0.0451242,2.112133,8.792905,-11.6239,21.22731
"124-3",1996,"germany",3,124,7.021709,4.234107,26.90126,-0.8640326,0.7489762,0.0236153,2.099504,8.792905,-11.87506,20.14841
"124-3",1997,"germany",3,124,7.021709,4.158883,26.93849,-0.8576642,0.7023385,0.0056645,2.082,8.792905,-12.13123,18.91994
"124-3",1998,"germany",3,124,5.669191,4.787492,26.93539,-0.886248,0.6735913,-0.0106355,2.072296,8.792905,-12.29867,18.14344
"124-3",1999,"germany",3,124,6.30828,4.158883,26.96057,-0.8841716,0.6718257,-0.0255043,2.071133,8.792905,-12.30397,18.1128
"125-1",1989,"germany",1,125,3.010621,4.60517,26.97178,-0.6931925,0.2255091,1.195364,-2.704315,8.872745,25.99558,6.082383
"125-1",1990,"germany",1,125,1.360977,4.691348,27.01607,-0.6934585,0.2046779,1.216071,-2.702786,8.872745,25.79719,5.529591
"125-1",1991,"germany",1,125,1.252763,4.564348,27.0738,-0.6943996,0.1915721,1.27581,-2.707103,8.872745,25.7192,5.186584
"125-2",1989,"germany",2,125,5.566434,3.78419,26.97178,-0.6931925,0.2255091,1.195364,-2.704315,8.872745,25.99558,6.082383
"125-2",1990,"germany",2,125,5.644032,3.78419,27.01607,-0.6934585,0.2046779,1.216071,-2.702786,8.872745,25.79719,5.529591
"125-2",1991,"germany",2,125,6.662621,3.89182,27.0738,-0.6943996,0.1915721,1.27581,-2.707103,8.872745,25.7192,5.186584
"125-3",1989,"germany",3,125,6.05772,4.820282,26.97178,-0.6931925,0.2255091,1.195364,-2.704315,8.872745,25.99558,6.082383
"125-3",1990,"germany",3,125,5.887215,4.828314,27.01607,-0.6934585,0.2046779,1.216071,-2.702786,8.872745,25.79719,5.529591
